"Staatsangehörigkeit"	"Evangelisch-reformiert"	"Römisch-katholisch"	"Christkatholisch"	"Israelitisch"	"Andere/ohne/unbekannt"
"Schweiz"	16.9	12.4	0.4	0.5	69.8
"Deutschland"	9.9	12.0	0.2	0.4	77.5
"Italien"	0.4	15.5	2.3	0.1	81.8
"Türkei"	0.1	0.1	0.0	0.0	99.9
"EU-West + EFTA + UK"	1.1	7.4	1.0	0.1	90.4
"EU-Ost"	1.0	15.2	1.7	0.3	81.8
"Balkan"	0.1	1.0	0.2	0.0	98.7
"Mittel- und Südamerika"	2.6	12.5	1.7	0.1	83.1
"Arabische Länder"	0.3	0.4	0.2	0.1	99.1
"Afrikanische Länder"	3.2	8.5	1.3	0.0	86.9
"Übrige Länder"	0.7	2.6	0.2	0.8	95.8

