"Staatsangehörigkeit"	"Evangelisch-reformiert"	"Römisch-katholisch"	"Christkatholisch"	"Israelitisch"	"Andere/ohne/unbekannt"
"Schweiz"	23.6	17.1	0.4	0.6	58.2
"Deutschland"	13.3	18.1	0.4	0.3	68.0
"Italien"	0.4	23.5	1.3	0.1	74.8
"Türkei"	0.1	0.0	0.0	0.0	99.9
"EU-West + EFTA + UK"	1.7	13.1	1.2	0.4	83.7
"EU-Ost"	1.9	28.0	1.7	0.0	68.4
"Balkan"	0.1	1.2	0.1	0.0	98.6
"Mittel- und Südamerika"	2.4	22.1	1.6	0.1	73.8
"Arabische Länder"	0.8	0.6	0.2	0.1	98.3
"Afrikanische Länder"	4.8	13.6	1.5	0.0	80.0
"Übrige Länder"	0.8	5.0	0.3	1.1	92.7

