Jahr	Frauen	Männer
1991	4771	9387
1992	4851	9791
1993	5256	10859
1994	5093	9131
1995	4155	9851
1996	4153	9531
1997	4244	8745
1998	4215	8852
1999	5010	8322
2000	4393	7368
2001	3624	8234
2002	3880	6450
2003	3820	8000
2004	3537	6614
2005	3317	7349
2006	3526	5585
2007	3589	6186
2008	3410	6465
2009	3446	6033
2010	3104	5838
2011	3179	5485
2012	3377	5526
2013	2942	5567
2014	3113	5344
2015	2752	4677
2016	2660	4363
2017	2426	4092
2018	2935	4167
2019	2523	4460
2020	2316	4355
2021	2061	4609
2022	2144	5551
