"Wohnviertel_ID"	"Wohnviertel_Name"	"In der Schweiz geborene Personen (%)"	"Differenz 2019 zu 2010"
01	"Altstadt Grossbasel"	64.6944	-2.74986
02	"Vorstädte"	53.9550	-6.86411
03	"Am Ring"	55.1740	-5.65673
04	"Breite"	57.2887	-5.49546
05	"St. Alban"	57.3649	-6.52500
06	"Gundeldingen"	55.1114	-1.12978
07	"Bruderholz"	67.1312	-4.49686
08	"Bachletten"	68.9829	-4.16662
09	"Gotthelf"	64.2405	-2.63800
10	"Iselin"	56.5542	-3.84019
11	"St. Johann"	52.3241	-2.36574
12	"Altstadt Kleinbasel"	55.3342	-5.94619
13	"Clara"	47.8580	-2.62130
14	"Wettstein"	61.0860	-5.86554
15	"Hirzbrunnen"	67.7928	-6.09480
16	"Rosental"	42.5617	-2.33233
17	"Matthäus"	46.7559	-0.47855
18	"Klybeck"	47.4644	-4.08846
19	"Kleinhüningen"	49.3209	-1.89857
20	"Riehen"	65.1728	-5.38853
30	"Bettingen"	63.2203	-0.70425

