	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	22.8	43.9	17.2	4	6.2	5.8
Mehrpersonen-HH (n=871)	24.9	43.1	19.9	2	6.3	3.9
*Geschlecht						
Männlich (n=637)	23.2	44	20.4	2.4	7.2	2.8
Weiblich (n=760)	25.7	42.6	17.4	2.9	5.7	5.8
*Alter						
55-64 Jahre (n=518)	20.1	41.9	19.9	3.7	10.6	3.9
65-74 Jahre (n=434)	22.6	47	20	2.5	4.6	3.2
>74 Jahre (n=441)	32.4	39.9	15.9	1.6	2.9	7.3
*Staatsangehörigkeit						
Schweiz (n=1 280)	24.6	43.3	18.8	2.6	6.2	4.6
Ausland (n=120)	25.8	40.8	19.2	3.3	7.5	3.3
*Haushaltseinkommen						
<5 000 Fr. (n=428)	23.1	44.4	15.7	4.2	5.8	6.8
5 000-7 499 Fr. (n=325)	20.3	47.7	19.1	3.7	7.1	2.2
>7 499 Fr. (n=440)	27.7	41.1	20.7	0.9	7	2.5
*Wahlkreis						
Grossbasel Ost (n=357)	28	44	16.8	2.2	5.3	3.6
Grossbasel West (n=474)	18.4	43.7	21.5	2.7	7.8	5.9
Kleinbasel (n=306)	28.1	39.9	17.6	3.9	5.9	4.6
Riehen, Bettingen (n=240)	25.4	45.8	18.8	1.7	5	3.3
*Befragungsjahr						
2011 (N=1 689)	24.7	43.3	19.8	2	4.9	5.4
2015 (N=1 427)	21.5	46.1	19.8	3.4	4.9	4.2
2019 (N=1 410)	24.6	43	18.7	2.6	6.3	4.8

