""	"Schweizer"	"Schweizerinnen"	"Ausländer"	"Ausländerinnen"
"2014-01"	0.031	0.026	0.061	0.039
"2014-02"	0.031	0.026	0.058	0.039
"2014-03"	0.030	0.026	0.055	0.040
"2014-04"	0.030	0.025	0.051	0.039
"2014-05"	0.028	0.024	0.046	0.036
"2014-06"	0.027	0.024	0.042	0.036
"2014-07"	0.027	0.024	0.042	0.037
"2014-08"	0.027	0.025	0.041	0.039
"2014-09"	0.027	0.025	0.043	0.039
"2014-10"	0.027	0.025	0.047	0.039
"2014-11"	0.029	0.025	0.053	0.039
"2014-12"	0.031	0.024	0.062	0.039
"2015-01"	0.032	0.026	0.065	0.040
"2015-02"	0.032	0.025	0.062	0.041
"2015-03"	0.032	0.025	0.061	0.041
"2015-04"	0.031	0.025	0.058	0.041
"2015-05"	0.029	0.025	0.055	0.041
"2015-06"	0.029	0.025	0.052	0.041
"2015-07"	0.029	0.026	0.048	0.041
"2015-08"	0.031	0.027	0.047	0.041
"2015-09"	0.031	0.028	0.051	0.042
"2015-10"	0.031	0.027	0.053	0.043
"2015-11"	0.031	0.026	0.057	0.043
"2015-12"	0.032	0.025	0.062	0.043
"2016-01"	0.033	0.025	0.066	0.045
"2016-02"	0.034	0.026	0.067	0.047
"2016-03"	0.033	0.025	0.064	0.046
"2016-04"	0.033	0.027	0.064	0.047
"2016-05"	0.032	0.027	0.060	0.046
"2016-06"	0.031	0.026	0.056	0.045
"2016-07"	0.030	0.026	0.053	0.045
"2016-08"	0.031	0.028	0.052	0.045
"2016-09"	0.030	0.028	0.052	0.044
"2016-10"	0.031	0.028	0.054	0.043
"2016-11"	0.032	0.028	0.061	0.044
"2016-12"	0.032	0.027	0.069	0.044
"2017-01"	0.034	0.027	0.068	0.039
"2017-02"	0.032	0.026	0.065	0.041
"2017-03"	0.032	0.027	0.060	0.041
"2017-04"	0.032	0.028	0.056	0.039
"2017-05"	0.030	0.026	0.052	0.039
"2017-06"	0.029	0.025	0.050	0.039
"2017-07"	0.029	0.025	0.048	0.039
"2017-08"	0.031	0.027	0.047	0.041
"2017-09"	0.029	0.026	0.045	0.038
"2017-10"	0.030	0.026	0.046	0.040
"2017-11"	0.030	0.025	0.048	0.039
"2017-12"	0.030	0.025	0.055	0.040
"2018-01"	0.030	0.025	0.058	0.040
"2018-02"	0.029	0.025	0.054	0.039
"2018-03"	0.028	0.025	0.053	0.040
"2018-04"	0.027	0.024	0.048	0.040
"2018-05"	0.027	0.023	0.045	0.039
"2018-06"	0.027	0.023	0.042	0.037
"2018-07"	0.027	0.024	0.041	0.037
"2018-08"	0.028	0.023	0.041	0.036
"2018-09"	0.026	0.022	0.041	0.037
"2018-10"	0.026	0.021	0.043	0.036
"2018-11"	0.026	0.021	0.048	0.036
"2018-12"	0.027	0.021	0.056	0.035
"2019-01"	0.029	0.021	0.058	0.037
"2019-02"	0.028	0.020	0.054	0.035
"2019-03"	0.027	0.020	0.052	0.035
"2019-04"	0.027	0.018	0.049	0.034
"2019-05"	0.025	0.018	0.045	0.034
"2019-06"	0.025	0.018	0.042	0.032
"2019-07"	0.025	0.019	0.040	0.032
"2019-08"	0.024	0.019	0.040	0.032
"2019-09"	0.022	0.020	0.039	0.031
