lat	lon	ID	Name	Plätze	Adresse
47.56031774	7.579534993	1	Adullam Pflegezentrum Basel	133	Mittlere Strasse 15, 4056 Basel
47.58579888	7.655294066	2	Adullam Pflegezentrum Riehen	60	Schützengasse 60, 4125 Riehen
47.55586304	7.61384395	3	Alterszentrum Alban-Breite 	82	Zürcherstrasse 143, 4052 Basel
47.54900347	7.616862261	4	Gellert Hof Bethesda Alterszentren AG	134	Gellertstrasse 138, 4052 Basel
47.56427507	7.596085654	5	Wesley Haus Bethesda Alterszentren AG	78	Hammerstrasse 88, 4057 Basel
47.53962815	7.59160583	6	BSB Alterszentrum am Bruderholz	58	Bruderholzweg 21, 4053 Basel
47.57153178	7.560091597	7	BSB Alterszentrum Burgfelderhof	113	Im Burgfelderhof 30, 4056 Basel
47.53947007	7.601209051	8	BSB Alterszentrum Falkenstein	86	Falkensteinerstrasse 30, 4053 Basel
47.55388601	7.575497423	9	BSB Alterszentrum Weiherweg	85	Rudolfstrasse 43, 4054 Basel
47.56095847	7.594223217	10	BSB Alterszentrum zum Lamm	65	Rebgasse 16, 4058 Basel
47.55154425	7.58338591	11	Casavita Hasenbrunnen	57	Feierabendstrasse 1, 4051 Basel
47.56674542	7.564708722	12	Casavita Kannenfeld	72	Burgfelderstrasse 188, 4055 Basel
47.54538959	7.621717871	13	Casavita Lehenmatt	63	Stadionstrasse 17, 4052 Basel
47.55661632	7.57733022	14	Casavita Vincentianum	46	Nonnenweg 3, 4055 Basel
47.56596512	7.59674348	15	dandelion	65	Sperrstrasse 100, 4057 Basel
47.5858391	7.654766762	16	Kommunität Diakonissenhaus Riehen	10	Schützengasse 51, 4125 Riehen
47.58268058	7.651642763	17	Dominikushaus	62	Albert Oeri-Strasse 7, 4125 Riehen 
47.5456995	7.568479893	18	Generationenhaus Neubad	87	Holeestrasse 119, 4054 Basel
47.56445351	7.597111687	19	Gustav Benz-Haus	81	Brantgasse 5, 4057 Basel
47.55191343	7.580601956	20	Alterszentrum Holbeinhof	111	Leimenstrasse 67, 4051 Basel
47.56927869	7.634425506	21	Alterspflegeheim Humanitas	111	Rauracherstrasse 111, 4125 Riehen
47.56989264	7.68482652	22	irides AG Pflegezentrum	64	Hohe Strasse 30, 4126 Bettingen
47.56895662	7.581788301	23	Johanniter Alters- und Pflegeheim	132	Mülhauserstrasse 35, 4056 Basel
47.55402787	7.600782774	24	Ländli Basel	48	St. Alban-Vorstadt 85, 4052 Basel
47.57071176	7.593988016	25	Marienhaus	111	Horburgstrasse 54, 4057 Basel
47.57370544	7.56488082	26	Neues Marthastift	109	Friedrich Miescher-Str. 1, 4056 Basel
47.54141104	7.59176955	27	Pflegeheim Momo	106	Bruderholzstrasse 104, 4053 Basel
47.56277026	7.575025864	28	Pflegehotel St. Johann 	75	St. Johanns-Ring 122, 4056 Basel
47.5692035	7.598633521	29	Senevita Erlenmatt	56	Erlenmattstrasse 7, 4058 Basel
47.54451928	7.609082943	30	Senevita Gellertblick	97	St. Jakobs-Strasse 201,4052 Basel
47.57105389	7.679020137	31	Pflegeheim St. Chrischona	38	Chrischonarain 131, 4126 Bettingen
47.58366701	7.592987426	32	Pflegewohnheim St. Christophorus	61	Dorfstrasse 38, 4057 Basel
47.56836868	7.619078242	33	Alters- und Pflegeheim St. Elisabethenheim	70	Allmendstrasse 40, 4058 Basel
47.55129051	7.592260835	34	Sternenhof Haus für Betagte/Hirschgässlein	58	Sternengasse 27, 4051 Basel
47.54095789	7.598464377	34	Sternenhof Laufenstrasse	24	Laufenstrasse 46, 4053 Basel
47.56879025	7.56693342	34	Sternenhof Luzernerring	40	Luzernerring 92, 4056 Basel
47.56891184	7.574950877	34	Sternenhof Vogesenstrasse	20	Vogesenstrasse 111, 4056 Basel
47.54588385	7.589082366	35	Residenz Südpark	28	Meret Oppenheim-Str.62, 4053 Basel
47.54121007	7.619038566	36	Tertianum AG Residenz St. Jakob-Park	16	St. Jakobs-Strasse 395, 4052 Basel
47.58729667	7.65523482	37	Wendelin	84	Inzlingerstrasse 50, 4125 Riehen
47.58090231	7.592936489	38	Alterszentrum Wiesendamm	67	Wiesendamm 20 / 22, 4057 Basel
47.52751098	7.59770085	39	Alterszentrum Zum Wasserturm	40	Giornicostrasse 144, 4059 Basel
