"wohnviertel_id_kdm"	"Wohnviertel Name"	"Leerwohnungsquote 2026"	"Differenz 2026 zu 2016"	"Leerwohnungsquote 2016"
1	"Altstadt Grossbasel"	1.5244	1.0909	0.4335
2	"Vorstädte"	2.4452	1.9104	0.5348
3	"Am Ring"	0.6879	0.2347	0.4532
4	"Breite"	0.6450	0.1533	0.4918
5	"St. Alban"	1.0004	0.1698	0.8306
6	"Gundeldingen"	0.6760	0.4052	0.2708
7	"Bruderholz"	0.4351	0.0458	0.3893
8	"Bachletten"	0.3207	0.1543	0.1665
9	"Gotthelf"	0.4840	0.1912	0.2928
10	"Iselin"	0.4440	0.1003	0.3436
11	"St. Johann"	1.0970	0.9079	0.1891
12	"Altstadt Kleinbasel"	1.1824	0.5942	0.5882
13	"Clara"	1.0086	0.5772	0.4314
14	"Wettstein"	0.2356	0.0210	0.2146
15	"Hirzbrunnen"	0.7305	-0.5499	1.2804
16	"Rosental"	1.0101	0.5716	0.4385
17	"Matthäus"	0.7012	0.3943	0.3069
18	"Klybeck"	0.6579	0.4706	0.1873
19	"Kleinhüningen"	1.0076	0.7128	0.2948
20	"Riehen"	0.8376	0.3318	0.5058
30	"Bettingen"	0.5319	-1.4802	2.0121

