"Wohnviertel_ID"	"Wohnviertel_Name"	"Anteil deutschsprachiger Personen (%)"	"Differenz 2019 zu 2010 (pp)"
01	"Altstadt Grossbasel"	80.3683	-3.71681
02	"Vorstädte"	70.6914	-7.74290
03	"Am Ring"	72.0050	-6.90694
04	"Breite"	73.2638	-5.16294
05	"St. Alban"	72.7562	-6.43650
06	"Gundeldingen"	69.2730	-0.51137
07	"Bruderholz"	83.5549	-3.87331
08	"Bachletten"	85.3555	-2.87353
09	"Gotthelf"	80.6099	-2.75545
10	"Iselin"	69.2244	-4.02756
11	"St. Johann"	65.5010	-0.38094
12	"Altstadt Kleinbasel"	71.6065	-7.02487
13	"Clara"	61.1261	-1.81540
14	"Wettstein"	78.4434	-4.61434
15	"Hirzbrunnen"	81.7782	-5.22566
16	"Rosental"	54.0175	-0.43602
17	"Matthäus"	59.2298	0.47698
18	"Klybeck"	54.5530	-2.64382
19	"Kleinhüningen"	59.9714	-3.06213
20	"Riehen"	84.8669	-4.65906
30	"Bettingen"	90.4237	-3.14954

