"Jahr"	"1 Zimmer"	"2 Zimmer"	"3 Zimmer"	"4 Zimmer"	"5+ Zimmer"	"Anzahl leere Wohnungen"	"LWQ alle Wohnungen (rechte Skala)"	"LWQ 1 Zimmer"	"LWQ 2 Zimmer"	"LWQ 3 Zimmer"	"LWQ 4 Zimmer"	"LWQ 5+ Zimmer"
2011	94	115	171	92	50	522	0.4959	0.8207	0.4652	0.4350	0.5127	0.4222
2012	119	102	159	86	34	500	0.4728	1.0384	0.4092	0.4029	0.4765	0.2866
2013	58	91	136	55	21	361	0.3408	0.5061	0.3646	0.3443	0.3041	0.1764
2014	25	51	93	48	28	245	0.2303	0.2385	0.2079	0.2331	0.2570	0.2191
2015	52	84	107	79	39	361	0.3365	0.4866	0.3389	0.2667	0.4189	0.3042
2016	61	107	163	77	44	452	0.4168	0.5605	0.4240	0.4026	0.4050	0.3427
2017	68	164	202	84	28	546	0.5004	0.6144	0.6449	0.4970	0.4394	0.2177
2018	117	251	267	99	48	782	0.7112	1.0442	0.9774	0.6526	0.5135	0.3726
2019	186	327	403	155	53	1124	1.0114	1.6383	1.2494	0.9772	0.7985	0.4090
2020	188	313	392	129	51	1073	0.9611	1.6385	1.1878	0.9467	0.6636	0.3931

