"Jahr"	"Gewaltstraftaten pro 100 000 Einwohner"	"Gewaltstraftaten"	"mittlere Bevölkerung"
1995	260	518	199173
1996	319	632	198021
1997	313	614	195972
1998	306	592	193700
1999	358	686	191843
2000	347	658	189507
2001	318	599	188215
2002	390	734	188196
2003	384	724	188552
2004	407	768	188796
2005	349	658	188705
2006	306	577	188441
2007	268	504	188332
2008	310	586	189080
2009	374	714	190682
2010	409	785	191946
2011	464	892	192174
2012	462	892	192891
2013	411	801	194655
2014	350	686	196086
2015	335	659	197005
2016	358	708	197926
2017	316	627	198563
2018	257	513	199870
