Wohnviertel_ID	Wohnviertel	Anteil Zuzüge aus dem Ausland	Total Zuzüge aus dem Ausland 2022	Deutschland	Anteil Deutschland	Ukraine	Anteil Ukraine	Übrige Länder	Anteil übrigen Ländern
1	Altstadt Grossbasel	0.67	216	41	0.19	59	0.27	116	0.54
2	Vorstädte	0.74	548	76	0.14	139	0.25	333	0.61
3	Am Ring	0.66	826	179	0.22	156	0.19	491	0.59
4	Breite	0.53	357	90	0.25	45	0.13	222	0.62
5	St. Alban	0.62	627	129	0.21	122	0.2	376	0.6
6	Gundeldingen	0.51	846	226	0.27	124	0.15	496	0.59
7	Bruderholz	0.57	243	51	0.21	90	0.37	102	0.42
8	Bachletten	0.58	453	70	0.16	184	0.41	199	0.44
9	Gotthelf	0.57	261	74	0.28	60	0.23	127	0.49
10	Iselin	0.56	615	161	0.26	75	0.12	379	0.62
11	St. Johann	0.66	1003	216	0.22	138	0.14	649	0.65
12	Altstadt Kleinbasel	0.54	128	43	0.34	7	0.06	78	0.61
13	Clara	0.66	293	60	0.21	42	0.14	191	0.65
14	Wettstein	0.68	379	78	0.21	40	0.11	261	0.69
15	Hirzbrunnen	0.6	204	46	0.23	53	0.26	105	0.52
16	Rosental	0.71	639	127	0.2	39	0.06	473	0.74
17	Matthäus	0.66	909	185	0.2	157	0.17	567	0.62
18	Klybeck	0.66	361	108	0.3	22	0.06	231	0.64
19	Kleinhüningen	0.75	172	34	0.2	19	0.11	119	0.69
20	Riehen	0.61	555	227	0.41	173	0.31	155	0.28
30	Bettingen	0.52	43	31	0.72	7	0.16	5	0.12
