Alter	Schweizer	Ausländer	Schweizerinnen	Ausländerinnen
0	564	382	477	338
1	503	407	469	393
2	536	404	501	390
3	548	357	505	329
4	569	473	555	433
5	573	361	529	356
6	561	397	555	368
7	587	388	495	395
8	554	412	574	369
9	559	419	548	398
10	571	385	567	372
11	611	395	510	335
12	576	370	470	364
13	583	381	548	352
14	545	354	536	307
15	615	300	567	312
16	564	299	606	315
17	601	293	584	277
18	594	361	566	247
19	620	335	651	262
20	658	316	695	266
21	652	321	768	317
22	702	348	807	326
23	720	446	907	421
24	754	492	914	522
25	884	558	943	617
26	852	640	1005	680
27	858	699	971	760
28	843	816	896	840
29	869	814	974	876
30	849	873	903	885
31	848	926	906	895
32	868	967	891	925
33	904	983	884	928
34	921	943	816	972
35	851	1051	889	1003
36	812	972	859	959
37	796	960	803	968
38	766	967	771	919
39	785	962	801	980
40	765	961	775	904
41	804	919	763	882
42	754	928	802	827
43	779	856	817	804
44	752	880	767	817
45	733	860	743	797
46	684	776	685	718
47	660	771	685	666
48	686	711	722	688
49	669	728	743	606
50	680	663	644	632
51	682	695	717	615
52	627	588	734	562
53	707	548	709	507
54	714	541	745	501
55	751	575	731	529
56	800	561	831	458
57	741	553	908	453
58	810	494	880	432
59	866	515	937	423
60	895	484	989	391
61	890	441	994	416
62	897	426	935	343
63	799	408	878	357
64	794	335	932	301
65	813	328	949	250
66	752	264	903	253
67	762	225	842	206
68	721	213	864	200
69	756	227	799	226
70	637	194	780	177
71	614	197	770	197
72	646	166	716	196
73	594	167	792	145
74	555	151	760	152
75	588	149	765	156
76	596	134	715	150
77	566	144	718	143
78	493	123	716	126
79	503	122	723	101
80	491	80	686	92
81	461	79	635	90
82	434	92	654	83
83	413	83	641	97
84	359	72	588	82
85	294	86	549	81
86	254	65	510	74
87	248	45	464	76
88	240	43	465	54
89	196	27	394	42
90	193	24	377	39
91	135	20	332	28
92	110	10	279	23
93	99	15	267	10
94	70	4	187	20
95	76	7	165	9
96	40	7	127	9
97	22	2	96	8
98	14		61	6
99	12		37	1
100	8		25	4
101	6		18	1
102	2		13	
103	1		5	
104			3	
105			2	
