Hochschulquote in 	 Schweiz	 Schweizer	 Schweizerinnen	 Ausland	 Ausländer	 Ausländerinnen
2004	18.2	18.8	17.8	4.0	3.8	4.3
2005	18.7	19.4	18.1	3.7	3.4	4.1
2006	18.9	19.6	18.4	4.0	3.5	4.4
2007	19.3	19.9	18.7	3.9	3.7	4.0
2008	20.0	20.3	19.8	4.2	4.2	4.3
2009	20.8	20.7	20.9	4.8	4.7	4.9
2010	20.9	20.7	21.1	5.3	5.7	4.9
2011	22.2	21.6	22.7	4.8	5.0	4.7
2012	22.5	22.0	22.8	5.2	5.2	5.2
2013	23.6	23.7	23.5	5.2	5.4	5.0
2014	23.6	23.8	23.4	5.7	5.9	5.4
2015	24.3	24.6	24.0	6.6	6.4	6.8
2016	25.1	25.0	25.2	7.3	7.1	7.5
2017	24.9	25.3	24.7	7.6	7.4	7.7
2018	24.8	24.4	25.1	7.2	6.7	7.6
2019	25.2	24.2	26.0	7.0	6.7	7.3
2020	25.9	25.3	26.4	7.3	6.7	7.9
2021	26.2	26.2	26.2	8.0	7.7	8.2
2022	25.2	25.0	25.4	8.4	8.5	8.2
2023	25.7	25.6	25.8	8.2	8.1	8.3
2024	27.0	26.7	27.4	8.0	8.0	7.9
