"Datum"	"EU15/EFTA"	"EU seit 2004"	"Drittstaaten"
"2009-01"	932	116	373
"2009-02"	1125	129	343
"2009-03"	1081	140	488
"2009-04"	943	161	346
"2010-01"	949	88	410
"2010-02"	792	149	419
"2010-03"	1191	229	370
"2010-04"	881	136	369
"2011-01"	944	133	392
"2011-02"	1027	146	410
"2011-03"	1328	206	433
"2011-04"	1064	171	335
"2012-01"	1085	176	414
"2012-02"	982	180	423
"2012-03"	1190	208	388
"2012-04"	1015	208	364
"2013-01"	1220	174	425
"2013-02"	1226	191	459
"2013-03"	1324	266	422
"2013-04"	1204	167	317
"2014-01"	1226	231	356
"2014-02"	1013	182	364
"2014-03"	1307	290	402
"2014-04"	1284	265	335
"2015-01"	1298	196	444
"2015-02"	1183	209	364
"2015-03"	1408	281	403
"2015-04"	1180	213	289
"2016-01"	1138	198	514
"2016-02"	1142	253	361
"2016-03"	1322	276	394
"2016-04"	1002	229	257
"2017-01"	1216	192	695
"2017-02"	1063	226	478
"2017-03"	1191	267	356
"2017-04"	990	236	278
"2018-01"	1176	208	721
"2018-02"	1027	241	496
"2018-03"	1289	451	389
"2018-04"	1036	311	275

