	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	0	0.8	2	42.3	29.3	25.7
Mehrpersonen-HH (n=871)	0.2	1.1	2.9	54.4	19.3	22
*Geschlecht						
Männlich (n=637)	0.2	1.1	3.8	53.7	23.1	18.2
Weiblich (n=760)	0.1	0.9	1.6	47.4	23.3	26.7
*Alter						
55-64 Jahre (n=518)	0	1.9	5.4	65.4	14.5	12.7
65-74 Jahre (n=434)	0.2	0.5	0.9	47	29.3	22.1
>74 Jahre (n=441)	0.2	0.5	0.9	35.8	26.3	36.3
*Staatsangehörigkeit						
Schweiz (n=1 280)	0.1	1	2.5	49.3	23.3	23.8
Ausland (n=120)	0.8	0.8	2.5	57.5	21.7	16.7
*Haushaltseinkommen						
<5 000 Fr. (n=428)	0	1.2	1.4	42.3	29	26.2
5 000-7 499 Fr. (n=325)	0	1.5	4.3	49.2	23.4	21.5
>7 499 Fr. (n=440)	0.2	0.7	3.2	63	17.5	15.5
*Wahlkreis						
Grossbasel Ost (n=357)	0.3	0.8	3.1	49	23.8	23
Grossbasel West (n=474)	0	1.3	2.7	51.3	22.8	21.9
Kleinbasel (n=306)	0.3	1	2.9	48.4	22.9	24.5
Riehen, Bettingen (n=240)	0	0.8	0.8	51.7	23.3	23.3
*Befragungsjahr						
2011 (N=1 689)	0	0.5	1.5	48.2	17.2	32.6
2015 (N=1 427)	0.2	0.6	2.7	51.5	21	24
2019 (N=1 410)	0.1	1	2.6	49.8	23	23.5
