	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Familienform						
Einelternfamilie (n=272)	18.4	37.9	30.5	10.3	1.1	1.8
Zweielternfamilie (n=1 372)	16.3	41.1	28.3	11.4	0.7	2.3
*Anzahl Kinder						
1 Kind (n=562)	15.5	35.2	32.0	14.2	1.2	1.8
2 Kinder (n=750)	16.1	42.0	30.0	9.6	0.3	2.0
3 Kinder u.m. (n=353)	19.5	45.9	20.7	9.6	0.8	3.4
*Alter jüngstes Kind						
0-4 Jahre (n=610)	10.0	37.4	34.4	14.9	0.7	2.6
5-8 Jahre (n=364)	11.3	39.8	31.9	14.8	0.5	1.6
9-12 Jahre (n=277)	26.0	44.8	19.5	7.9	0.4	1.4
13-17 Jahre (n=389)	25.4	44.0	22.9	4.4	1.0	2.3
*Bildungsniveau Eltern						
Obligat. Schule (n=105)	25.7	36.2	19.0	6.7	2.9	9.5
Sekundarstufe II (n=553)	16.8	40.9	28.6	9.8	0.9	3.1
Tertiärstufe (n=983)	15.3	41.1	30.1	12.4	0.3	0.8
*Haushaltssprache						
ch/dt (n=870)	12.4	42.5	30.9	12.8	0.1	1.3
ch/dt und andere (n=516)	20.0	38.4	28.3	10.3	0.8	2.3
nur andere (n=246)	24.4	37.8	22.0	8.1	2.4	5.3
*Haushaltseinkommen						
<3 000 Fr. (n=111)	19.8	31.5	27.9	10.8	0.9	9.0
3 000-7 499 Fr. (n=580)	14.0	37.9	29.8	13.8	1.0	3.4
>7 499 Fr. (n=855)	17.5	42.9	29.0	9.6	0.4	0.6
*Wahlkreis						
Grossbasel Ost (n=415)	20.2	40.2	25.5	11.8	0.7	1.4
Grossbasel West (n=585)	14.0	44.3	27.7	10.6	0.3	3.1
Kleinbasel (n=376)	13.0	35.1	33.2	15.2	1.9	1.6
Riehen, Bettingen (n=253)	23.3	43.5	26.5	5.5	0.0	1.2
*Befragungsjahr						
2009 (N=3 119)	12.2	39.2	32.0	12.9	1.2	2.5
2013 (N=2 231)	14.2	38.1	30.6	13.6	0.6	3.0
2017 (N=1 665)	16.6	40.5	28.7	11.2	0.7	2.2
