daten_jahr Wohnort	Akutsomatik	Geriatrie	Psychiatrie	Rehabilitation
2010 BS	28454	3991	2084	1334
2010 Nicht-BS	28396	307	1580	1159
.
2011 BS	28711	4327	2852	1268
2011 Nicht-BS	29034	447	835	1179
..
2012 BS	28563	4383	2800	1702
2012 Nicht-BS	30140	542	894	1249
...
2013 BS	29061	4266	2826	1873
2013 Nicht-BS	31990	688	920	1218
....
2014 BS	29410	4202	2644	1970
2014 Nicht-BS	33549	814	923	1356
.....
2015 BS	29401	4009	2689	2050
2015 Nicht-BS	34347	857	1012	1456
......
2016 BS	29866	3891	2760	2068
2016 Nicht-BS	36999	927	1023	1532
.......
2017 BS	30057	4070	2784	2102
2017 Nicht-BS	38354	1009	945	1459
........
2018 BS	30090	3567	2559	2135
2018 Nicht-BS	39083	1073	1013	1597
.........
2019 BS	29990	2589	2761	2964
2019 Nicht-BS	39909	846	1023	1902
..........
2020 BS	30670	6	2604	2546
2020 Nicht-BS	39218	2	996	1763
