	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Familienform						
Einelternfamilie (n=272)	48.2	32.7	10.7	2.6	0.7	5.1
Zweielternfamilie (n=1 372)	52.0	35.3	6.6	2.4	0.1	3.5
*Anzahl Kinder						
1 Kind (n=562)	46.3	38.8	8.5	2.5	0.4	3.6
2 Kinder (n=750)	56.4	30.9	7.3	2.4	0.1	2.8
3 Kinder u.m. (n=353)	49.3	36.8	5.1	2.3	0.3	6.2
*Alter jüngstes Kind						
0-4 Jahre (n=610)	47.0	38.9	8.4	2.5	0.2	3.1
5-8 Jahre (n=364)	52.5	34.1	6.9	2.2	0.5	3.8
9-12 Jahre (n=277)	56.3	32.5	5.1	1.8	0.0	4.3
13-17 Jahre (n=389)	54.8	31.9	6.7	3.1	0.0	3.6
*Bildungsniveau Eltern						
Obligat. Schule (n=105)	37.1	38.1	12.4	1.9	1.0	9.5
Sekundarstufe II (n=553)	47.4	35.8	8.7	3.6	0.4	4.2
Tertiärstufe (n=983)	55.3	33.9	6.1	1.7	0.1	2.8
*Haushaltssprache						
ch/dt (n=870)	56.9	32.4	6.6	2.3	0.1	1.7
ch/dt und andere (n=516)	47.5	37.0	8.3	2.5	0.2	4.5
nur andere (n=246)	41.5	38.2	6.9	2.4	0.8	10.2
*Haushaltseinkommen						
<3 000 Fr. (n=111)	38.7	28.8	16.2	7.2	0.0	9.0
3 000-7 499 Fr. (n=580)	45.2	36.2	9.8	2.8	0.7	5.3
>7 499 Fr. (n=855)	57.2	35.0	4.6	1.3	0.0	2.0
*Wahlkreis						
Grossbasel Ost (n=415)	53.7	34.9	5.8	1.7	0.0	3.9
Grossbasel West (n=585)	53.5	34.0	7.2	1.7	0.2	3.4
Kleinbasel (n=376)	40.2	38.3	12.2	4.8	0.8	3.7
Riehen, Bettingen (n=253)	60.5	32.4	3.6	1.6	0.0	2.0
*Befragungsjahr						
2009 (N=3 119)	44.8	38.3	9.3	2.5	0.6	4.5
2013 (N=2 231)						
2017 (N=1 665)	51.5	34.8	7.3	2.4	0.2	3.8
