"Datum"	"Aufenthalter (B)"	"Kurzaufenthalter ab 12 Monaten"	"Kurzaufenthalter 4 bis 12 Monate"	"Kurzaufenthalter bis 4 Monate"	"Dienstleistungserbringer bis 4 Monate"	"Übrige"
"2015-01"	886	187	501	145	181	38
"2015-02"	795	178	442	139	177	25
"2015-03"	914	175	540	157	267	39
"2015-04"	731	149	407	72	300	23
"2016-01"	807	140	356	296	249	2
"2016-02"	766	147	399	188	244	12
"2016-03"	953	136	457	173	269	4
"2016-04"	768	106	325	92	196	1
"2017-01"	819	164	356	444	320	0
"2017-02"	725	134	431	262	211	4
"2017-03"	845	126	445	129	261	8
"2017-04"	704	104	418	97	173	8
"2018-01"	819	117	275	589	302	3
"2018-02"	670	122	408	321	242	1
"2018-03"	867	146	436	371	303	6
"2018-04"	752	116	361	176	214	3
"2019-01"	810	139	353	837	257	3
"2019-02"	708	104	306	252	246	3
"2019-03"	874	171	369	214	267	8
"2019-04"	865	126	395	171	215	24
"2020-01"	882	122	361	763	285	7
"2020-02"	436	108	166	56	82	3
"2020-03"	794	108	322	72	154	7
"2020-04"	783	91	393	83	117	8
"2021-01"	728	119	273	46	101	2
"2021-02"	544	92	244	69	65	6
"2021-03"	707	130	277	262	155	16
"2021-04"	876	105	393	75	151	17
"2022-01"	885	89	302	378	173	11
"2022-02"	832	76	310	141	144	3
"2022-03"	922	100	255	182	187	16
"2022-04"	850	94	326	291	125	24
"2023-01"	1423	105	448	493	282	13
"2023-02"	931	89	283	458	148	11
"2023-03"	1067	96	382	187	130	20
"2023-04"	1025	82	358	79	105	32
"2024-01"	1018	113	298	394	217	18
"2024-02"	821	81	319	496	90	15
"2024-03"	880	98	353	171	86	25
"2024-04"	942	77	366	112	114	105

