Jahr	Nettoschuldenquote	Planjahre (Budgetbericht)	Obergrenze gem. Schuldenbremse	Obergrenze gem. Schuldenbremse ab 2010
2001	8.5			
2002	8.5			
2003	8.1			
2004	7.7			
2005	6.9		7.5	
2006	4.7		7.5	
2007	5.4		7.5	
2008	4.8		7.5	
2009	4.5		7.5	
2010	3.2			6.5
2011	2.9			6.5
2012	3.5			6.5
2013	3.4			6.5
2014	3			6.5
2015	2.9			6.5
2016	3			6.5
2017	2.9			6.5
2018	2.5			6.5
2019	1.5			6.5
2020	0.2			6.5
2021	-0.1			6.5
2022	-0.3			6.5
2023	-0.6			6.5
2024		-0.4		6.5
2025		-0.1		6.5
2026		0.3		6.5	
2027		0.8		6.5	
