"Jahr"	"Offene Ackerfläche"	"Grünfläche"	"Dauerkulturen"	"Übrige landwirtschaftliche Nutzfläche"
1996	221.7	243.3	8.1	4.3
1997	196.4	260.4	9.3	4.5
1998	190.9	276	6.9	7.4
1999	252.3	281.7	23.5	3.2
2000	248.6	273	39.4	3
2001	177.1	281.8	14.8	2.3
2002	171.4	296.8	34.8	2.3
2003	154	300.4	11.4	4.2
2004	156	293.6	11.1	4.2
2005	162.4	289.1	9	2.3
2006	162	287.6	8.6	1.8
2007	167.5	238	6.9	1.8
2008	174.3	279.9	6.3	2.2
2009	158	295.7	7.4	2.2
2010	146.8	313.6	8.1	3.9
2011	134.4	268.8	9.1	6.1
2012	135.6	269.8	9.3	4.1
2013	136.5	266.7	7.5	13.5
2014	138.8	264.9	10.8	4.9
2015	143	269.2	10	5.5
2016	136.5	279.2	11.2	3.6
2017	125.8	287.9	11.2	3.7
2018	131.1	278.5	11.2	3.7
2019	115.6	293.8	10	2.8
2020	115	289	15	4
2021	115	290	14	3
