"Jahr"	"Pharmaindustrie"	"Übriges verarbeit. Gewerbe"	"Bau, Energie, Wasser"	"Handel und Verkehr"	"Gastgewerbe"	"Finanzen, Versicherung"	"Unternehmens-DL, Freiberufe"	"Öff. Verwaltung und Bildung"	"Gesundheits- und Sozialwesen"	"Übrige Branchen"
"2013"	17772	8987	8994	28942	10050	11782	36400	18196	28083	19285
"2014"	18198	8707	9388	28478	10485	11747	37218	18656	28844	19434
"2015"	18696	8720	9591	27266	10627	11577	36516	18919	29223	19198
"2016"	18869	8563	9488	26274	10320	11300	36758	19251	30214	19264
"2017"	18779	8351	9276	25882	10423	10837	37637	19060	31092	19186
"2018"	18184	8197	9064	25910	10606	10925	37262	19645	31389	19280
"2019"	17802	7955	8775	26295	10961	11029	37931	19904	31879	19919
"2020"	17977	7470	8881	25351	7784	11411	37353	20165	32653	19733
"2021"	17822	7366	8438	25683	9162	11528	38683	20576	33428	20316
"2022"	17833	7190	8498	26734	10979	11768	39442	20866	34903	21524
