""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2010-01"	1	71	9
"2010-02"	1	72	4
"2010-03"	1	68	-0
"2010-04"	1	68	2
"2011-01"	2	71	0
"2011-02"	3	75	2
"2011-03"	2	79	1
"2011-04"	7	87	17
"2012-01"	4	75	16
"2012-02"	3	79	7
"2012-03"	2	77	13
"2012-04"	1	76	20
"2013-01"	3	77	23
"2013-02"	4	76	21
"2013-03"	3	77	25
"2013-04"	2	82	24
"2014-01"	9	76	32
"2014-02"	3	78	27
"2014-03"	7	88	19
"2014-04"	4	79	16
"2015-01"	8	83	16
"2015-02"	4	75	14
"2015-03"	2	75	7
"2015-04"	4	68	6
"2016-01"	2	68	11
"2016-02"	6	69	11
"2016-03"	""	72	6
"2016-04"	1	73	7
"2017-01"	""	75	6
"2017-02"	""	66	10
"2017-03"	1	67	17
"2017-04"	6	68	13
"2018-01"	""	64	8
"2018-02"	""	65	11
"2018-03"	3	60	11
"2018-04"	3	62	6
"2019-01"	2	57	7
"2019-02"	""	58	14
"2019-03"	1	58	15
"2019-04"	""	58	17

