""	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
"2013-1"	452	774	2850	822
"2013-2"	451	771	2913	840
"2013-3"	440	765	2994	825
"2013-4"	442	789	3022	801
"2014-1"	454	789	3065	816
"2014-2"	474	791	3118	800
"2014-3"	455	790	3179	797
"2014-4"	477	784	3195	809
"2015-1"	476	780	3209	835
"2015-2"	480	782	3240	857
"2015-3"	486	802	3271	848
"2015-4"	492	771	3277	861
"2016-1"	492	786	3358	923
"2016-2"	503	778	3409	861
"2016-3"	520	792	3503	887
"2016-4"	537	759	3492	857
"2017-1"	536	748	3458	869
"2017-2"	540	724	3508	851
"2017-3"	546	688	3586	867
"2017-4"	557	681	3605	879
"2018-1"	556	659	3587	838
"2018-2"	549	636	3580	834
"2018-3"	552	625	3599	826
"2018-4"	563	625	3556	796
"2019-1"	570	614	3511	802
"2019-2"	554	595	3532	795
"2019-3"	583	574	3476	792
"2019-4"	574	567	3504	777
"2020-1"	604	563	3475	822
"2020-2"	604	558	3468	779
"2020-3"	601	549	3471	895
"2020-4"	617	603	3466	935
"2021-1"	604	682	3458	953
"2021-2"	601	679	3479	988
"2021-3"	599	660	3468	1024
"2021-4"	600	611	3512	1063
"2022-1"	619	597	3516	1105
"2022-2"	611	582	3569	1106
"2022-3"	637	589	3594	1201
"2022-4"	630	574	3649	1271

