"Staatsangehörigkeit"	"C"	"B"	"F"	"L"	"N"	"Übrige"
"Schweiz"	0.0	0.0	0.0	0.0	0.0	0.0
"Deutschland"	60.2	35.1	0.0	2.5	0.0	2.2
"Italien"	71.0	26.5	0.0	1.9	0.0	0.6
"Türkei"	79.7	18.8	0.4	0.4	0.5	0.3
"EU-West + EFTA + UK"	57.7	37.4	0.0	3.3	0.0	1.7
"EU-Ost"	30.0	64.1	0.0	5.1	0.0	0.8
"Balkan"	79.3	19.7	0.4	0.4	0.2	0.1
"Mittel- und Südamerika"	39.9	55.4	0.1	2.5	0.1	2.0
"Arabische Länder"	26.9	53.9	14.5	1.0	3.1	0.5
"Afrikanische Länder"	35.3	48.9	10.7	1.5	1.9	1.6
"Übrige Länder"	29.4	43.9	2.6	5.7	0.7	17.6

