Jahr	Schweiz	Deutschland	Italien	Türkei	EU-West + EFTA + UK	EU-Ost	Balkan	Mittel- und Südamerika	Arabische Länder	Afrikanische Länder	Übrige Länder
2005	25.2	9.3	21.4	33.5	13.6	18.9	39.7	16.4	24.3	26.7	16.9
2006	24.5	9.1	21.0	33.2	13.5	18.5	39.2	15.5	25.9	28.6	18.5
2007	23.1	9.1	20.1	33.5	13.0	17.0	38.9	16.1	27.8	27.3	17.5
2008	22.2	8.8	18.9	33.2	13.5	16.0	37.9	14.9	28.1	27.2	19.8
2009	21.7	8.3	17.5	33.0	13.4	16.0	38.3	15.1	27.6	27.8	20.6
2010	20.9	8.1	16.8	32.9	13.5	14.5	38.0	15.7	27.4	27.8	21.1
2011	20.7	8.4	15.9	32.2	13.8	14.2	37.3	14.2	29.2	27.3	21.5
2012	20.1	7.8	15.0	32.1	13.6	14.3	36.3	14.3	31.0	27.8	21.1
2013	19.6	8.0	14.9	32.0	13.8	14.4	35.4	13.6	28.5	28.6	20.6
2014	18.7	7.8	14.6	31.4	13.5	14.8	34.3	12.9	26.5	27.3	19.3
2015	18.7	7.7	14.7	30.8	13.5	14.6	33.8	13.9	28.4	26.0	19.0
2016	17.9	7.6	13.5	30.3	13.6	15.4	33.0	13.5	26.7	25.6	17.7
2017	17.5	7.8	13.2	29.8	13.0	13.6	33.1	13.7	23.6	26.4	18.1
2018	17.0	7.6	13.0	29.2	13.3	13.0	33.0	13.6	21.4	25.2	17.9
2019	16.4	7.4	13.4	28.8	12.9	13.5	31.9	12.2	21.5	25.6	16.7
2020	16.2	7.9	13.1	28.2	12.6	13.3	31.5	12.7	21.0	24.9	16.8
2021	15.9	8.2	13.3	27.4	12.5	13.0	31.3	12.5	22.0	24.0	17.3
2022	15.7	8.4	13.2	26.4	12.6	12.9	31.0	12.7	23.2	23.0	15.0
2023	15.5	7.9	12.6	25.7	12.3	12.0	30.2	12.4	22.8	22.5	14.2
2024	15.6	8.0	12.4	25.5	12.4	11.8	29.7	12.9	22.1	23.6	13.2
