"Branche"	"2020"	"2021"	"2022"
"Industrie (exkl. Chemie, Pharma)"	0.292	0.277	0.270
"Chemie, Pharma"	0.342	0.339	0.339
"Baugewerbe"	0.211	0.197	0.189
"Handel, Reparatur"	0.186	0.175	0.172
"Verkehr, Lagerei"	0.097	0.101	0.094
"Gastgewerbe"	0.094	0.085	0.091
"Information, Kommunikation"	0.260	0.283	0.305
"Finanz-, Versicherungs-DL"	0.079	0.072	0.063
"Beratung, Planung, Forschung, Immobilien"	0.271	0.288	0.312
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.345	0.356	0.371
"Personalvermittlung, -überlassung"	0.236	0.260	0.252
"Öffentliche Verwaltung, Sozialversicherungen"	0.099	0.096	0.101
"Erziehung, Unterricht"	0.043	0.044	0.041
"Gesundheits-, Sozialwesen"	0.106	0.108	0.112
"Kultur, Unterhaltung, pers. DL"	0.082	0.093	0.112
"Total"	0.182	0.184	0.188

