""	"Keine oder obligatorische Schule"	"Berufsvorbereitende Schule"	"DMS, FMS, o.ä."	"Berufslehre"	"Matura"	"Höhere Fachschule"	"Universität"
"Männer"	13001.769239	2785.4926822	1661.1531408	20857.837410	7136.2125233	8325.8145342	24216.520471
"Frauen"	16427.769698	4542.9759530	3316.2626766	20810.722919	7825.1300984	8221.9338563	23224.604798
"Schweizer"	14526.488498	4676.2622588	3819.5335875	33480.616303	10758.581973	12957.436051	25187.681329
"Ausländer"	14903.050439	2652.2063764	1157.8822300	8187.9440257	4202.7606491	3590.3123392	22253.443940
"18-29 J."	3497.2206448	2122.9614227	901.15755456	5925.2027970	5849.8687251	1349.8031818	7842.6332416
"30-39 J."	3218.5853194	944.19077281	697.25366143	5295.4245375	2230.2129851	3181.6575306	15476.002077
"40-49 J."	4104.9178484	760.04052875	545.56207429	5665.6866705	1745.6998496	3020.0896918	9923.0876692
"50-59 J."	4579.4859076	679.97536139	647.77918639	7508.4219950	1911.7983871	3973.3731123	7278.4735816
"60 J. u.m."	10477.613662	2159.8492473	2111.7773737	17200.069892	3164.8160582	5022.8248740	6920.9286998
"Total"	29429.538937	7328.4686352	4977.4158175	41668.560329	14961.342622	16547.748391	47441.125269

