	Aargau	Basel-Landschaft	Basel-Stadt	Bern	Genf	Zug	Zürich	Schweiz
1999	52 185	49 481	109 818	61 133	84 634	98 661	84 204	62 951
2000	54 145	51 987	116 802	63 627	88 428	107 254	89 326	65 964
2001	55 848	54 499	122 521	65 266	87 687	111 842	89 446	67 285
2002	55 045	55 171	127 753	65 240	86 217	111 489	86 855	66 629
2003	54 603	55 443	132 605	65 618	86 252	111 807	87 127	66 851
2004	55 741	57 482	139 211	67 219	88 639	116 809	88 526	68 477
2005	57 181	59 536	145 397	68 958	92 721	122 431	90 615	70 621
2006	60 569	63 101	156 334	71 861	99 008	131 246	96 275	74 598
2007	64 087	66 677	167 029	75 089	106 106	141 063	102 375	78 900
2008	66 822	69 254	169 892	77 720	109 644	148 034	103 350	81 346
2009	64 368	67 606	166 845	76 129	104 938	145 662	99 467	78 861
2010	64 884	69 866	168 538	78 747	107 356	160 220	99 519	80 830
2011	64 994	70 532	175 014	79 320	106 173	158 415	100 022	81 473
2012	64 879	70 050	177 762	78 618	105 868	157 933	100 420	81 585
2013	65 163	70 441	175 648	79 218	106 463	165 549	100 683	82 180
2014	65 319	72 140	176 412	80 136	106 076	159 210	101 104	82 660
2015	65 060	72 095	178 056	79 662	102 716	158 249	100 014	82 030
2016	64 696	71 866	183 132	79 325	102 588	160 408	98 382	82 314
2017	64 951	73 808	192 947	79 007	104 697	158 156	99 602	82 391
2018	66 907	75 538	198 713	80 538	107 507	164 889	103 762	84 819
2019	66 869	77 024	204 182	81 082	107 770	159 381	102 204	85 074

