2001	 Schweiz	 Deutschland	 Italien	 Türkei	 EU-17 & EFTA	 EU-Ost	 Balkan	 Mittel- & Südamerika	 Arabische Länder	 Afrikanische Länder	 Übrige Länder
2001	8.1	3.2	15.8	10.0	6.8	6.6	9.6	1.1	3.8	1.3	1.4
2002	8.5	3.0	16.5	12.3	6.9	5.9	11.2	1.6	3.7	2.0	1.6
2003	8.7	2.6	16.7	13.3	7.1	5.5	12.1	1.6	4.4	2.0	1.3
2004	8.9	2.3	16.8	14.1	7.1	4.8	13.2	1.6	4.2	2.1	1.2
2005	9.0	2.1	16.8	14.6	7.1	5.0	13.8	1.7	4.6	2.3	1.5
2006	9.0	1.8	16.5	15.0	6.7	4.4	13.9	1.8	3.6	2.4	1.4
2007	9.0	1.6	16.0	16.1	6.5	4.1	14.8	1.9	3.3	2.6	1.5
2008	8.9	1.4	15.7	17.0	6.1	3.6	15.8	2.0	3.6	2.6	1.6
2009	9.3	1.2	13.9	14.2	5.3	2.6	13.7	1.5	2.8	1.6	1.2
2010	9.1	1.2	13.4	13.7	5.2	2.6	13.6	1.6	2.7	1.7	1.2
2011	9.1	1.2	12.9	13.7	4.7	2.3	13.3	1.7	2.9	1.6	1.2
2012	8.8	1.2	12.2	13.2	4.3	1.8	12.9	1.4	2.9	1.8	1.1
2013	8.6	1.3	10.8	12.6	3.8	1.5	12.3	1.5	2.9	1.7	1.1
2014	8.3	1.3	10.0	12.2	3.6	1.3	11.8	1.6	2.6	1.5	1.1
2015	8.1	1.3	9.2	12.0	3.3	1.1	11.4	1.6	2.7	1.6	1.1
2016	8.0	1.3	8.6	12.0	3.1	1.0	10.7	1.4	2.7	1.6	1.1
