"Jahr"	"Bruttoinlandprodukt"	"Category"
1980	8219.2	0
1981	8754.3	1
1982	9459.6	2
1983	9879.3	3
1984	10619.4	4
1985	11380.8	5
1986	12410	6
1987	12691.6	7
1988	13522.6	8
1989	14709.8	9
1990	15764	10
1991	16620.6	11
1992	17136.9	12
1993	17797.8	13
1994	18379.3	14
1995	18521.8	15
1996	18233.9	16
1997	18056.4	17
1998	18615.2	18
1999	18996	19
2000	20505.1	20
2001	21986.8	21
2002	22928.5	22
2003	23895.1	23
2004	25172.3	24
2005	26267.4	25
2006	28023.9	26
2007	29854.1	27
2008	31108.6	28
2009	30720.2	29
2010	31151.4	30
2011	31936.4	31
2012	32160.4	32
2013	32379.2	33
2014	33049.8	34
2015	33747.2	35
2016	35989.6	36
2017	38212.3	37
2018	39070.6	38
2019	39192.8	39
