Wohnviertel_ID	Wohnviertel_Name	Sozialhilfequote in %	Anzahl Sozialhilfebeziehende
1	Altstadt Grossbasel	3.0	82
2	Vorstädte	3.2	161
3	Am Ring	2.6	307
4	Breite	4.3	400
5	St. Alban	2.5	314
6	Gundeldingen	4.8	935
7	Bruderholz	1.4	131
8	Bachletten	2.1	288
9	Gotthelf	3.1	224
10	Iselin	6.5	1183
11	St. Johann	5.6	1122
12	Altstadt Kleinbasel	5.5	139
13	Clara	5.2	233
14	Wettstein	2.2	127
15	Hirzbrunnen	3.6	361
16	Rosental	5.4	424
17	Matthäus	7.2	1096
18	Klybeck	9.3	680
19	Kleinhüningen	8.1	235
20	Riehen	2.4	559
30	Bettingen	0.8	11
