Jahr	Sehr gern	Eher gern	Eher ungern	Ganz ungern	Weiss nicht	Keine Angabe
2003						
2003: Schweiz	849	392	40	7	3	0
2003: Ausland	118	75	11	2	0	0
2003: Total	967	467	51	9	3	0
2005						
2005: Schweiz	807	440	41	11	1	0
2005: Ausland	135	68	7	0	0	0
2005: Total	942	508	48	11	1	0
2007						
2007: Schweiz	850	424	45	7	5	0
2007: Ausland	109	61	8	0	0	0
2007: Total	959	485	53	7	5	0
2011						
2011: Schweiz	876.14022	265.35391	15.64168	7.63978	1.53570	0
2011: Ausland	266.82535	81.24432	1.61903	0	0	0
2011: Total	1142.966	346.5982	17.26071	7.639782	1.535698	0
2015						
2015: Schweiz	843.39855	272.92616	19.66497	7.11104	3.83735	0
2015: Ausland	233.07927	108.88103	13.10353	2.66532	1.33278	0
2015: Total	1076.478	381.8072	32.7685	9.776362	5.170129	0
2019						
2019: Schweiz	1033	286.77871	27.84783	9.50451	6.03382	16.42678
2019: Ausland	495.84713	181.22611	5.53473	4.89983	1.70204	15.40891
2019: Total	1543.354	473.2349	33.38256	15.37426	7.735865	34.9184
2023						
2023: Schweiz	881.11337	370.03134	49.98220	13.16278	9.75713	16.42150
2023: Ausland	505.28120	165.41088	28.43850	4.23960	6.98756	3.17393
2023: Total	1386.395	535.4422	78.4207	17.40238	16.74469	19.59544

