	Sehr oft	Eher oft	Eher selten	Nie	Keine Angabe
*Familienform					
Einelternfamilie (n=272)	9.2	18.8	41.5	24.6	5.9
Zweielternfamilie (n=1 372)	5.7	15.7	53.7	22.7	2.2
*Anzahl Kinder					
1 Kind (n=562)	7.5	15.8	51.1	22.2	3.4
2 Kinder (n=750)	3.9	16.0	51.9	25.6	2.7
3 Kinder u.m. (n=353)	9.3	17.0	51.6	19.5	2.5
*Alter jüngstes Kind					
0-4 Jahre (n=610)	4.4	17.0	55.9	20.7	2.0
5-8 Jahre (n=364)	8.2	18.4	52.5	18.7	2.2
9-12 Jahre (n=277)	5.1	14.4	51.6	25.6	3.2
13-17 Jahre (n=389)	8.0	14.1	44.2	30.1	3.6
*Bildungsniveau Eltern					
Obligat. Schule (n=105)	13.3	16.2	36.2	21.9	12.4
Sekundarstufe II (n=553)	7.6	17.2	48.5	23.0	3.8
Tertiärstufe (n=983)	4.8	15.6	54.9	23.4	1.3
*Haushaltssprache					
ch/dt (n=870)	5.9	15.7	54.1	22.6	1.6
ch/dt und andere (n=516)	7.0	17.8	48.8	22.7	3.7
nur andere (n=246)	6.1	12.2	49.2	27.2	5.3
*Haushaltseinkommen					
<3 000 Fr. (n=111)	16.2	21.6	32.4	22.5	7.2
3 000-7 499 Fr. (n=580)	7.8	19.7	44.8	24.5	3.3
>7 499 Fr. (n=855)	3.3	13.3	60.0	22.5	0.9
*Wahlkreis					
Grossbasel Ost (n=415)	5.5	17.8	51.1	23.1	2.4
Grossbasel West (n=585)	6.7	15.2	49.6	25.1	3.4
Kleinbasel (n=376)	7.2	15.2	51.3	23.4	2.9
Riehen, Bettingen (n=253)	5.5	17.4	56.9	17.8	2.4
*Befragungsjahr					
2009 (N=3 119)	7.4	17.5	50.4	20.6	4.1
2013 (N=2 231)	6.5	16.6	52.4	21.2	3.2
2017 (N=1 665)	6.2	16.2	51.5	23.2	2.9
