Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	60-69 J.	>69 J.	Männer	Frauen	Total
2003	95.15488483	93.53233831	91	93.36283186	95.76923077	96.9581749	95.2991453	96.02888087	95.80838323	94.19191919	94.93150685
2005	96.40344019	94.20289855	96.81818182	94.57013575	95.53264605	95.71984436	94.56066946	99.2248062	96.70014347	95.56400507	96.09690444
2007	96.02750191	95.93023256	96.56862745	94.21965318	95.65217391	95.62043796	96.13899614	97.06744868	96.90265487	95.26774595	96.01620527
2011	96.20743034	94.31279621	96.62921348	95.26627219	95.76271186	94.05204461	96.55172414	96.92307692	96.87034277	95.19230769	95.94145043
2015	96.61798616	96.47058824	97.87234043	91.30434783	97.09302326	97.73584906	96.33027523	96.98795181	96.89807976	96.34760705	96.60095173
2003_n	1259	201	200	226	260	263	234	277	668	792	1460
2005_n	1279	207	220	221	291	257	239	258	697	789	1486
2007_n	1309	172	204	173	230	274	259	341	678	803	1481
2011_n	1292	211	178	169	236	269	261	390	671	832	1503
2015_n	1301	170	94	115	172	265	327	498	677	794	1471
