	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	46.9	37.9	6.4	1.2	3.4	4.2
Mehrpersonen-HH (n=871)	44.5	36.3	6.1	1	4.6	7.5
*Geschlecht						
Männlich (n=637)	40.3	41	7.1	1.6	4.6	5.5
Weiblich (n=760)	49.7	33.7	5.7	0.8	3.7	6.4
*Alter						
55-64 Jahre (n=518)	42.7	37.8	7.7	1.5	6	4.2
65-74 Jahre (n=434)	44.9	38.2	6	0.7	3.7	6.5
>74 Jahre (n=441)	49.2	34.2	4.8	1.1	2.3	8.4
*Staatsangehörigkeit						
Schweiz (n=1 280)	46.2	36.7	6.1	0.9	3.8	6.3
Ausland (n=120)	36.7	40.8	8.3	3.3	7.5	3.3
*Haushaltseinkommen						
<5 000 Fr. (n=428)	49.5	35	6.5	1.2	1.4	6.3
5 000-7 499 Fr. (n=325)	46.2	41.2	4	0.6	5.2	2.8
>7 499 Fr. (n=440)	42.7	38.2	7	1.1	5.5	5.5
*Wahlkreis						
Grossbasel Ost (n=357)	42.6	40.6	8.1	1.4	3.9	3.4
Grossbasel West (n=474)	47.5	33.1	6.1	1.3	4.9	7.2
Kleinbasel (n=306)	50	35.6	4.9	0.7	2.9	5.9
Riehen, Bettingen (n=240)	38.3	41.7	6.3	1.3	4.2	8.3
*Befragungsjahr						
2011 (N=1 689)	47.4	37.5	5.4	0.8	2.2	6.7
2015 (N=1 427)	49.5	34.5	4.3	1.3	4.1	6.2
2019 (N=1 410)	45.4	36.9	6.2	1.1	4	6.3

