cities	Männer	Frauen	time
Basel	81.5750194714874	73.5309109741701	2021-01-01
Bern	86.047941954561	79.731157355042	2021-01-01
Genf	76.6506800064098	68.3474947291229	2021-01-01
Lausanne	78.4140707991462	71.5788805385936	2021-01-01
Zürich	85.0039019814187	76.3164922490398	2021-01-01
Frankfurt a. M.	83.5	73.3	2018-01-01
Freiburg i. Br.	81.8	76.8	2018-01-01
Karlsruhe	83.7	76.8	2018-01-01
München	86.7	77.9	2018-01-01
Stuttgart	87	77.3	2018-01-01
Lille	71.8	65.1	2020-01-01
Lyon	76.8	69.8	2020-01-01
Metz	73.9	67.8	2020-01-01
Paris	76.8	70.5	2020-01-01
Strassburg	74.5	68.3	2020-01-01
Mailand	75.1	62	2018-01-01
Bologna	80.8	68.9	2018-01-01
Lissabon	71.5	67.7	2011-01-01
Porto	68.2	59.1	2011-01-01
Barcelona	73.3	66.3	2018-01-01
Madrid	75.3	65.1	2018-01-01
