	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Geschlecht						
Männlich (n=816)	10.7	33.1	10.8	1.7	38.8	4.9
Weiblich (n=1 007)	13.1	27.3	8.5	1.8	44.7	4.6
*Haushaltseinkommen						
<3 000 Fr. (n=206)	15	27.7	10.2	5.8	35.4	5.8
3 000-7 499 Fr. (n=743)	12.1	29.3	8.7	1.7	42.5	5.5
>7 499 Fr. (n=646)	10.4	31	10.7	0.9	44.4	2.6
*Wahlkreis						
Grossbasel Ost (n=511)	12.7	27.6	7.6	1.4	46.2	4.5
Grossbasel West (n=655)	11.5	29.8	9.3	1.4	44.7	3.4
Kleinbasel (n=404)	11.1	29.2	11.1	3	40.1	5.4
Riehen, Bettingen (n=248)	12.5	33.9	12.1	1.6	32.7	7.3
*Haushaltsform						
Single-HH (n=741)	10.7	25.8	6.9	1.9	48.7	6.1
Übrige HH o. K. (n=734)	11.7	29.4	10.5	1.5	42.9	4
HH m. Kindern (n=362)	15.7	39	13.8	2.2	26	3.3
*Alter						
18-29 Jahre (n=142)	9.9	26.1	12	2.1	47.9	2.1
30-39 Jahre (n=306)	9.5	21.6	9.2	2.9	54.9	2
40-49 Jahre (n=294)	11.2	37.1	10.9	2.4	36.1	2.4
50-59 Jahre (n=332)	10.8	32.2	11.7	1.8	38.9	4.5
60-69 Jahre (n=333)	13.5	31.8	9	1.2	40.2	4.2
>69 Jahre (n=400)	14.5	28.8	7	0.8	39	10
*Staatsangehörigkeit						
Schweiz (n=1 436)	11.5	29.8	10.1	1.8	41.6	5.2
Ausland (n=399)	14.3	28.8	8	1.8	43.9	3.3
*Befragungsjahr						
2005 (N=1 470)	4.9	39	28.3	4.5	23.3	0
2007 (N=1 443)	4.2	40	27.2	2.6	26.1	0
2011 (N=1 472)	13.6	42.4	20.1	2.2	21.2	0.5
2015 (N=1 470)	10.1	45	17.8	1.1	25.9	0
2019 (N=1 855)	12.1	29.5	9.6	1.8	42.3	4.7

