"jahr_id"	"Deutschland"	"Frankreich"	"Spanien"	"Italien"	"USA"	"Übriges Ausland"
2016	100.000	100.000	100.000	100.000	100.000	100.000
2017	94.038	82.885	98.118	88.403	99.033	92.869
2018	96.683	91.154	98.656	81.681	102.901	92.370
2019	102.163	94.038	106.452	71.933	95.938	96.007
2020	93.702	89.615	93.548	76.471	78.337	81.602
2021	91.779	82.115	117.473	68.908	70.019	76.801
2022	108.269	83.462	127.688	88.571	64.217	134.490
2023	113.462	95.385	116.667	78.487	69.439	95.674
2024	112.837	87.308	114.516	77.815	53.772	84.193
2025	125.337	100.000	137.634	64.202	60.735	85.286

