"JahrBezirk"	"Grünfläche"	"Gewässer"	"Gebäude"	"Verkehrsfläche"	"Übrige befestigte Flächen"
"2005: Pestalozzi"	4.9348	0.072076	5.8608	5.0194	3.2088
"2005: Kannenfeld"	1.8672		3.9366	2.8093	1.6950
"2005: Landskron"	3.1102		9.7163	6.2084	4.4577
"2005: Lysbüchel"	4.8610	0.000525	20.5869	14.8215	32.4287
"2005: Friedmatt"	45.3590		19.7906	16.0827	18.4110
"."					
"2010: Pestalozzi"	5.1179	0.072076	5.7351	5.0130	3.1579
"2010: Kannenfeld"	1.9579		3.7638	2.8118	1.7748
"2010: Landskron"	3.1844		9.4340	6.3080	4.6173
"2010: Lysbüchel"	4.6878	0.000511	20.9029	14.9916	32.1160
"2010: Friedmatt"	45.9388		18.9827	16.0591	18.6629
".."					
"2015: Pestalozzi"	5.0332	0.072061	5.7312	5.0358	3.2237
"2015: Kannenfeld"	1.9513		3.7365	2.8116	1.8088
"2015: Landskron"	3.2826		9.4480	6.1910	4.6221
"2015: Lysbüchel"	5.1758	0.000285	19.3367	14.7918	33.3944
"2015: Friedmatt"	45.6569		18.8053	16.2339	18.9473
"..."					
"2020: Pestalozzi"	5.2285	0.072061	5.7081	5.0358	3.0515
"2020: Kannenfeld"	1.9395		3.7503	2.8117	1.8067
"2020: Landskron"	3.2580		9.3010	6.1904	4.7942
"2020: Lysbüchel"	8.5289	0.000110	17.2549	15.0658	31.8492
"2020: Friedmatt"	44.6184		19.5417	16.0230	19.4602
"...."					
"2024: Pestalozzi"	5.2282	0.072061	5.7172	5.0333	3.0452
"2024: Kannenfeld"	1.9405		3.7431	2.8117	1.8129
"2024: Landskron"	3.4449		9.3396	6.0545	4.7047
"2024: Lysbüchel"	12.7946	0.000110	17.2539	14.5008	28.1495
"2024: Friedmatt"	44.6342	0.026981	20.3050	15.3759	18.8895
"....."					

