	Stimmt genau	Stimmt eher	Stimmt eher nicht	Stimmt gar nicht	Weiss nicht	Keine Angabe
*Familienform						
Einelternfamilie (n=272)	10.7	19.1	26.8	32.7	3.7	7.0
Zweielternfamilie (n=1 372)	21.9	27.4	24.9	17.9	3.1	4.7
*Anzahl Kinder						
1 Kind (n=562)	19.6	26.9	25.8	20.1	2.7	5.0
2 Kinder (n=750)	19.9	26.8	24.5	20.4	2.9	5.5
3 Kinder u.m. (n=353)	21.0	22.7	24.9	21.5	5.7	4.2
*Alter jüngstes Kind						
0-4 Jahre (n=610)	19.3	23.9	26.6	23.1	2.8	4.3
5-8 Jahre (n=364)	21.7	28.6	21.4	19.5	3.8	4.9
9-12 Jahre (n=277)	23.8	22.7	26.7	17.3	3.6	5.8
13-17 Jahre (n=389)	17.0	29.0	25.4	20.1	3.6	4.9
*Bildungsniveau Eltern						
Obligat. Schule (n=105)	6.7	18.1	26.7	21.0	6.7	21.0
Sekundarstufe II (n=553)	11.4	25.7	28.6	24.4	3.8	6.1
Tertiärstufe (n=983)	26.3	27.2	23.0	18.1	2.8	2.5
*Haushaltssprache						
ch/dt (n=870)	21.8	25.5	26.6	21.0	2.5	2.5
ch/dt und andere (n=516)	17.8	26.7	25.4	20.3	3.3	6.4
nur andere (n=246)	18.3	25.2	19.5	18.7	6.5	11.8
*Haushaltseinkommen						
<3 000 Fr. (n=111)	2.7	16.2	31.5	32.4	3.6	13.5
3 000-7 499 Fr. (n=580)	8.6	24.1	29.8	29.0	3.1	5.3
>7 499 Fr. (n=855)	31.1	29.5	21.6	14.0	2.1	1.6
*Wahlkreis						
Grossbasel Ost (n=415)	18.6	27.5	24.6	23.1	2.2	4.1
Grossbasel West (n=585)	21.0	25.6	23.4	20.7	4.4	4.8
Kleinbasel (n=376)	17.6	23.7	28.7	19.1	3.5	7.4
Riehen, Bettingen (n=253)	24.1	27.3	25.3	17.8	2.4	3.2
*Befragungsjahr						
2009 (N=3 119)	19.3	24.6	21.9	22.3	3.7	8.3
2013 (N=2 231)	19.1	29.0	19.0	21.9	4.1	6.9
2017 (N=1 665)	20.0	25.9	25.0	20.5	3.4	5.0
