	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2014-1	100	100	100	100	100
2014-2	101.7	101.5	103.9	101.9	102.5
2014-3	103	102.9	104.8	103.2	103.5
2014-4	102.6	102.5	104.2	102.8	103.3
2015-1	102.8	103	103.1	102.9	103.6
2015-2	104.2	104.7	105.7	104.5	105.6
2015-3	104.8	106	107	105.4	106.6
2015-4	103.8	105.7	105.6	104.6	106
2016-1	104.7	105.5	104.5	104.9	106.7
2016-2	106	106.5	107.3	106.3	108.4
2016-3	106.6	107.5	107.9	107	109.1
2016-4	106	106.8	107	106.4	109.1
2017-1	104.8	106.9	106.6	105.7	108.9
2017-2	106	108.1	110.1	107.1	111.4
2017-3	106.7	110.4	113.3	108.6	112.6
2017-4	105.8	110.1	114	108.1	112.3
2018-1	103.8	110.2	115.4	107.2	111.8
2018-2	104.5	111.9	119.8	108.7	113.9
2018-3	103.8	112.8	122.4	108.9	114.5
2018-4	101.7	111.7	123.2	107.4	114.1
2019-1	101.1	111.7	124.9	107.3	114.6
2019-2	102.1	113.1	127.9	108.6	117.3
2019-3	102.8	114.7	128.5	109.6	118.5
2019-4	102.4	114.6	127.5	109.3	118.5
2020-1	102.1	114.6	126.8	109	118.3
2020-2	102.2	114.4	125.3	108.8	118.4
2020-3	102.9	115.4	124.2	109.4	119.7
2020-4	101.8	115.8	123.9	108.9	119.4
2021-1	101.9	115.8	124.5	109	120.1
2021-2	101.7	116.8	127.6	109.6	121.8
2021-3	102.1	118.1	127.6	110.3	123.8
2021-4	103	118.8	132.2	111.5	125.6
2022-1	103.2	120.3	137.3	112.7	127.4
2022-2	103.3	121.4	142.3	113.7	129.4
2022-3	104.5	123.9	147.3	115.7	131.6
2022-4	104.7	124.3	151.5	116.5	133.5
2023-1	103.6	124.4	155.7	116.3	134.9
2023-2	102.7	125.3	160.5	116.7	136.7






