"Branche"	"2016"	"2018"	"2020"
"Industrie (inkl. Pharma, exkl. Energie, Wasser)"	7430	7383	7540
"Pharma"	10851	11133	11785
"Baugewerbe"	6011	6366	6213
"Handel, Reparatur"	5811	5752	5821
"Verkehr, Lagerei"	5848	5549	5623
"Gastgewerbe"	4513	4285	4638
"Information, Kommunikation"	8341	8323	8719
"Finanz- und Versicherungs-DL"	8579	9039	9066
"Beratung, Planung, Forschung"	7916	7945	8166
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	5251	5349	5570
"Personalvermittlung, -überlassung"	5899	5868	5633
"Öffentliche Verwaltung, Sozialversicherungen"	7740	7866	7927
"Erziehung, Unterricht"	9266	9020	8807
"Gesundheits-, Sozialwesen"	6402	6377	6470
"Kunst und Unterhaltung"	6125	6263	6306
"Total"	6700	6714	6789

