"Jahr"	"Effektiv M"	"Hohes Szenario M"	"Mittleres Szenario M"	"Tiefes Szenario M"	"Effektiv W"	"Hohes Szenario W"	"Mittleres Szenario W"	"Tiefes Szenario W"
"1985"	0.0109	""	""	""	0.0119	""	""	""
"1986"	0.0086	""	""	""	0.0105	""	""	""
"1987"	0.0052	""	""	""	0.0072	""	""	""
"1988"	0.0056	""	""	""	0.0068	""	""	""
"1989"	0.0023	""	""	""	0.0033	""	""	""
"1990"	0.0025	""	""	""	0.0049	""	""	""
"1991"	0.0038	""	""	""	0.0048	""	""	""
"1992"	0.0062	""	""	""	0.0052	""	""	""
"1993"	0.0098	""	""	""	0.0074	""	""	""
"1994"	0.0093	""	""	""	0.0098	""	""	""
"1995"	0.0102	""	""	""	0.0096	""	""	""
"1996"	0.0116	""	""	""	0.0113	""	""	""
"1997"	0.0153	""	""	""	0.0139	""	""	""
"1998"	0.0162	""	""	""	0.0180	""	""	""
"1999"	0.0089	""	""	""	0.0093	""	""	""
"2000"	0.0156	""	""	""	0.0197	""	""	""
"2001"	0.0199	""	""	""	0.0227	""	""	""
"2002"	0.0240	""	""	""	0.0267	""	""	""
"2003"	0.0208	""	""	""	0.0241	""	""	""
"2004"	0.0205	""	""	""	0.0246	""	""	""
"2005"	0.0198	""	""	""	0.0223	""	""	""
"2006"	0.0173	""	""	""	0.0217	""	""	""
"2007"	0.0320	""	""	""	0.0367	""	""	""
"2008"	0.0270	""	""	""	0.0329	""	""	""
"2009"	0.0171	""	""	""	0.0214	""	""	""
"2010"	0.0127	""	""	""	0.0154	""	""	""
"2011"	0.0111	""	""	""	0.0152	""	""	""
"2012"	0.0119	""	""	""	0.0145	""	""	""
"2013"	0.0139	""	""	""	0.0170	""	""	""
"2014"	0.0135	""	""	""	0.0148	""	""	""
"2015"	0.0150	""	""	""	0.0185	""	""	""
"2016"	0.0097	""	""	""	0.0115	""	""	""
"2017"	0.0163	""	""	""	0.0192	""	""	""
"2018"	0.0132	""	""	""	0.0167	""	""	""
"2019"	0.0173	""	""	""	0.0198	""	""	""
"2020"	0.0143	""	""	""	0.0163	""	""	""
"2021"	0.0166	""	""	""	0.0225	""	""	""
"2022"	0.0176	""	""	""	0.0199	""	""	""
"2023"	""	0.0173	0.0175	0.0177	""	0.0195	0.0198	0.0200
"2024"	""	0.0171	0.0173	0.0178	""	0.0192	0.0197	0.0202
"2025"	""	0.0168	0.0172	0.0179	""	0.0188	0.0196	0.0204
"2026"	""	0.0165	0.0171	0.0180	""	0.0184	0.0195	0.0205
"2027"	""	0.0163	0.0170	0.0181	""	0.0181	0.0194	0.0207
"2028"	""	0.0160	0.0168	0.0182	""	0.0177	0.0193	0.0208
"2029"	""	0.0157	0.0167	0.0183	""	0.0174	0.0192	0.0210
"2030"	""	0.0155	0.0166	0.0184	""	0.0170	0.0192	0.0212
"2031"	""	0.0152	0.0165	0.0185	""	0.0167	0.0191	0.0213
"2032"	""	0.0149	0.0163	0.0186	""	0.0163	0.0190	0.0215
"2033"	""	0.0147	0.0162	0.0187	""	0.0160	0.0189	0.0217
"2034"	""	0.0144	0.0161	0.0188	""	0.0156	0.0188	0.0218
"2035"	""	0.0141	0.0160	0.0189	""	0.0152	0.0187	0.0220
"2036"	""	0.0139	0.0158	0.0190	""	0.0149	0.0186	0.0222
"2037"	""	0.0136	0.0157	0.0191	""	0.0145	0.0185	0.0223
"2038"	""	0.0133	0.0156	0.0192	""	0.0142	0.0185	0.0225
"2039"	""	0.0131	0.0155	0.0193	""	0.0138	0.0184	0.0227
"2040"	""	0.0128	0.0153	0.0194	""	0.0135	0.0183	0.0228
"2041"	""	0.0125	0.0152	0.0195	""	0.0131	0.0182	0.0230
"2042"	""	0.0123	0.0151	0.0196	""	0.0128	0.0181	0.0232
"2043"	""	0.0120	0.0150	0.0197	""	0.0124	0.0180	0.0233
"2044"	""	0.0117	0.0148	0.0198	""	0.0121	0.0179	0.0235
"2045"	""	0.0115	0.0147	0.0199	""	0.0117	0.0178	0.0236

