""	"Waren verschiedener Art"	"Nahrung, Getränke, Tabak"	"Tankstellen"	"Elektronikgeräte"	"Haushalt, Textil, Einrichtung"	"Bücher, Sport, Spielwaren"	"Kleider, Schuhe, Lederwaren"	"Apotheken, Kosmetik"	"Uhren und Schmuck"	"Sonstiger Detailhandel"
2012	2195.5	550.8	95.4	323.7	564.5	772.4	1307.7	848.6	256.0	756.3
2013	2172.0	599.4	107.6	292.2	485.3	701.6	1295.9	872.4	236.9	771.0
2014	2148.5	608.3	93.1	282.2	449.8	644.6	1235.4	873.4	221.1	743.2
2015	2063.1	595.2	88.7	389.0	482.3	672.7	1126.8	819.9	231.8	739.9
2016	1996.9	581.2	98.7	362.8	441.8	639.8	1062.6	834.6	216.4	696.7
2017	1976.5	605.9	101.0	349.1	423.5	637.4	993.0	787.8	204.5	680.4
2018	1961.8	588.1	100.8	311.9	403.4	637.9	864.3	789.6	190.4	681.2
2019	1973.0	537.2	97.4	300.9	383.8	620.1	885.2	794.3	178.2	684.4
2020	1939.3	490.3	87.5	287.8	387.5	586.5	819.9	788.9	167.9	675.1

