Kategorien	Ja, genutzt	Ja, nicht genutzt	Nein, würde genutzt	Nein, würde nicht genutzt	Keine Angabe
2009					
2009: Nur Deutsch	970	554	43	45	55
2009: Deutsch und weitere	352	402	44	75	112
2009: Kein Deutsch	113	196	37	59	62
2009: Total	1435	1152	124	179	229
2013					
2013: Nur Deutsch	548.38464	485.02496	25.24190	38.08993	58.02191
2013: Deutsch und weitere	244.28851	293.98298	29.43878	57.91547	89.96601
2013: Kein Deutsch	75.28541	127.47093	18.02811	67.25414	53.25622
2013: Total	875.99577	915.49288	73.85823	164.40898	201.24413
2017					
2017: Nur Deutsch	444.55477	303.84250	15.22626	19.77931	27.27949
2017: Deutsch und weitere	205.95475	233.96435	26.35743	22.01182	72.46783
2017: Kein Deutsch	77.78505	83.29459	23.39244	37.18980	38.96892
2017: Total	738.48028	634.82682	67.88132	81.40773	142.40385
2022					
2022: Nur Deutsch	410.50455	346.30810	17.01494	24.71170	54.21547
2022: Deutsch und weitere	234.08496	279.41452	38.87150	67.50813	89.41374
2022: Kein Deutsch	47.55641	67.06439	25.63883	41.76051	32.65266
2022: Total	692.14593	695.23322	81.52527	133.98034	178.11524

