	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	15.2	38.1	10.4	2.4	26.9	7
Mehrpersonen-HH (n=871)	17.9	42.4	9.4	2.4	22.7	5.2
*Geschlecht						
Männlich (n=637)	14.6	44.6	9.4	2.7	24.8	3.9
Weiblich (n=760)	19.2	38.3	9.7	2.2	23.6	7
*Alter						
55-64 Jahre (n=518)	15.4	38.4	7.1	1.5	34	3.5
65-74 Jahre (n=434)	15.7	45.9	10.4	2.3	21	4.8
>74 Jahre (n=441)	20.4	39.5	11.3	3.6	15.2	10
*Staatsangehörigkeit						
Schweiz (n=1 280)	17	41.7	9.7	2.3	23.2	6
Ausland (n=120)	16.7	35	8.3	2.5	34.2	3.3
*Haushaltseinkommen						
<5 000 Fr. (n=428)	19.2	38.1	11.2	3.3	21	7.2
5 000-7 499 Fr. (n=325)	14.8	48	7.7	1.8	22.5	5.2
>7 499 Fr. (n=440)	16.4	43	8.2	1.6	28	3
*Wahlkreis						
Grossbasel Ost (n=357)	17.1	38.1	11.2	3.1	26.6	3.9
Grossbasel West (n=474)	15	39.5	9.3	1.5	26.6	8.2
Kleinbasel (n=306)	18	41.5	10.1	3.3	21.6	5.6
Riehen, Bettingen (n=240)	19.6	49.2	7.1	1.7	18.8	3.8
*Befragungsjahr						
2011 (N=1 689)	16.8	39.3	12	2.1	21.4	8.3
2015 (N=1 427)	17.9	41.7	11.3	3.2	20.3	5.7
2019 (N=1 410)	17.1	40.9	9.5	2.4	24	6.1

