""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2013-01"	0.014473	53
"2013-02"	0.014473	49
"2013-03"	0.014473	51
"2013-04"	0.014473	44
"2013-05"	0.014473	46
"2013-06"	0.014473	46
"2013-07"	0.014473	52
"2013-08"	0.014473	57
"2013-09"	0.014473	57
"2013-10"	0.014473	56
"2013-11"	0.014473	56
"2013-12"	0.014473	60
"2014-01"	0.014681	69
"2014-02"	0.014681	61
"2014-03"	0.014681	63
"2014-04"	0.014681	59
"2014-05"	0.014681	52
"2014-06"	0.014681	53
"2014-07"	0.014681	54
"2014-08"	0.014681	45
"2014-09"	0.014681	40
"2014-10"	0.014681	48
"2014-11"	0.014681	46
"2014-12"	0.014681	46
"2015-01"	0.015697	54
"2015-02"	0.015697	54
"2015-03"	0.015697	52
"2015-04"	0.015697	52
"2015-05"	0.015697	52
"2015-06"	0.015697	59
"2015-07"	0.015697	63
"2015-08"	0.015697	61
"2015-09"	0.015697	59
"2015-10"	0.015697	56
"2015-11"	0.015697	56
"2015-12"	0.015697	62
"2016-01"	0.020106	64
"2016-02"	0.020106	62
"2016-03"	0.020106	61
"2016-04"	0.020106	68
"2016-05"	0.020106	71
"2016-06"	0.020106	74
"2016-07"	0.020106	76
"2016-08"	0.020106	76
"2016-09"	0.020106	81
"2016-10"	0.020106	80
"2016-11"	0.020106	82
"2016-12"	0.020106	76
"2017-01"	0.019251	80
"2017-02"	0.019251	70
"2017-03"	0.019251	72
"2017-04"	0.019251	81
"2017-05"	0.019251	73
"2017-06"	0.019251	74
"2017-07"	0.019251	72
"2017-08"	0.019251	65
"2017-09"	0.019251	60
"2017-10"	0.019251	64
"2017-11"	0.019251	62
"2017-12"	0.019251	61
"2018-01"	0.016874	66
"2018-02"	0.016874	62
"2018-03"	0.016874	64
"2018-04"	0.016874	65
"2018-05"	0.016874	61
"2018-06"	0.016874	60
"2018-07"	0.016874	67
"2018-08"	0.016874	67
"2018-09"	0.016874	61
"2018-10"	0.016874	55
"2018-11"	0.016874	49
"2018-12"	0.016874	54
"2019-01"	0.018721	57
"2019-02"	0.018721	59
"2019-03"	0.018721	67
"2019-04"	0.018721	68
"2019-05"	0.018721	68
"2019-06"	0.018721	78
"2019-07"	0.018721	77
"2019-08"	0.018721	74
"2019-09"	0.018721	63
"2019-10"	0.018721	65
"2019-11"	0.018721	66
"2019-12"	0.018721	69
"2020-01"	0.025484	63
"2020-02"	0.025484	66
"2020-03"	0.025484	79
"2020-04"	0.025484	91
"2020-05"	0.025484	94
"2020-06"	0.025484	96
"2020-07"	0.025484	101
"2020-08"	0.025484	84
"2020-09"	0.025484	91
"2020-10"	0.025484	104
"2020-11"	0.025484	102
"2020-12"	0.025484	133
"2021-01"	0.027284	138
"2021-02"	0.027284	130
"2021-03"	0.027284	122
"2021-04"	0.027284	117
"2021-05"	0.027284	108
"2021-06"	0.027284	96
"2021-07"	0.027284	84
"2021-08"	0.027284	88
"2021-09"	0.027284	79
"2021-10"	0.027284	77
"2021-11"	0.027284	72
"2021-12"	0.027284	71
"2022-01"	0.020082	79
"2022-02"	0.020082	71
"2022-03"	0.020082	68
"2022-04"	0.020082	68
"2022-05"	0.020082	60
"2022-06"	0.020082	61
"2022-07"	0.020082	72
"2022-08"	0.020082	79
"2022-09"	0.020082	76
"2022-10"	0.020082	75
"2022-11"	0.020082	79
"2022-12"	0.020082	82

