"Jahr"	"Leerwohnungsquote in %"	"Leerwohnungen"	"bestand"
2002	1.94000000000000	190	9803
2003	1.80000000000000	177	9807
2004	2.00000000000000	196	9816
2005	1.95000000000000	191	9800
2006	1.76000000000000	172	9778
2007	1.62000000000000	158	9730
2008	1.40000000000000	136	9713
2009	0.98000000000000	95	9710
2010	1.02000000000000	101	9899
2011	0.62000000000000	62	9995
2012	0.36000000000000	36	9995
2013	0.24000000000000	24	10015
2014	0.19000000000000	19	9989
2015	0.17000000000000	17	10017
2016	0.19000000000000	19	10050
2017	0.38000000000000	38	10069
2018	0.81000000000000	82	10149
2019	0.84000000000000	85	10148
2020	0.91000000000000	92	10095
2021	1.00000000000000	102	10152
2022	1.18000000000000	123	10421
2023	0.92000000000000	98	10644
2024	0.79000000000000	84	10664
