Jahr	Bezüger Kleinhüningen	Bezüger Klybeck	Sozialhilfequote Kleinhüningen	Sozialhilfequote Klybeck	Sozialhilfequote Stadt Basel
2001	182	598	7.702073635	8.533105023	5.4
2002	195	587	7.907542579	8.367783322	5.6
2003	242	701	9.664536741	9.96021597	6.4
2004	283	810	11.41129032	11.56647151	7.3
2005	293	849	11.4453125	12.09918769	7.9
2006	317	862	12.39249414	12.10334176	7.9
2007	292	833	11.4870181	11.85596356	7.3
2008	281	810	11.00665883	11.36682571	6.8
2009	245	842	9.283819629	11.64591978	6.6
2010	285	828	10.86128049	11.58203945	6.5
2011	353	887	13.07891812	12.22773642	6.9
2012	352	933	12.23496698	12.83709411	7.1
2013	366	984	12.7171647	13.49054017	7.1
2014	383	952	13.31710709	12.95590637	7.1
2015	394	919	13.5862069	12.6218926	7.1
2016	414	981	14.31040442	13.62121633	7.3
2017	379	1012	13.32630099	13.94900069	7.4
2018	361	1002	12.63121064	13.73920197	7.3
