"Staatsangehörigkeit"	"Evangelisch-reformiert"	"Römisch-katholisch"	"Christkatholisch"	"Israelitisch"	"Andere/ohne/unbekannt"
"Schweiz"	16.5	12.1	0.4	0.5	70.5
"Deutschland"	9.4	11.4	0.2	0.4	78.6
"Italien"	0.3	15.2	2.2	0.1	82.2
"Türkei"	0.1	0.1	0.0	0.0	99.8
"EU-West + EFTA + UK"	1.1	7.2	1.1	0.1	90.5
"EU-Ost"	0.9	15.0	1.6	0.3	82.2
"Balkan"	0.1	1.0	0.2	0.0	98.7
"Mittel- und Südamerika"	2.7	12.6	1.9	0.1	82.8
"Arabische Länder"	0.2	0.3	0.2	0.1	99.2
"Afrikanische Länder"	3.0	8.5	1.6	0.0	86.9
"Übrige Länder"	0.7	2.6	0.3	0.8	95.7

