	2017	95% Konfidenzintervall Untergrenze	95% Konfidenzintervall Obergrenze	2022	95% Konfidenzintervall Untergrenze	95% Konfidenzintervall Obergrenze
Total	14.1	12.6	15.7	17.6	15.9	19.2
Männer	11.1	9.0	13.1	14.0	11.8	16.3
Frauen	17.0	14.6	19.3	21.0	18.6	23.4
15-34 Jahre	10.7	7.9	13.4	19.3	15.6	23.1
35-49 Jahre	17.8	14.2	21.4	19.7	16.2	23.3
50-64 Jahre	16.7	13.5	19.9	17.5	14.4	20.5
>64 Jahre	11.2	8.4	14.0	13.5	11.1	15.9
Obligat. Schule	18.5	14.4	22.7	26.4	19.6	33.1
Sekundarstufe II	16.7	14.4	19.1	18.9	16.3	21.6
Tertiärstufe	8.2	6.0	10.5	12.9	10.8	15.0
o. Migrationsh.	12.0	10.2	13.8	15.1	13.2	17.0
m. Migrationsh.	17.8	14.9	20.6	21.5	18.6	24.5
