"Datum"	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
"2014-01"	5	97	87	60
"2014-02"	3	50	80	66
"2014-03"	5	112	97	99
"2014-04"	4	87	109	76
"2015-01"	8	77	90	141
"2015-02"	4	48	84	106
"2015-03"	15	92	123	169
"2015-04"	6	64	79	52
"2016-01"	6	73	95	61
"2016-02"	5	75	74	56
"2016-03"	12	115	97	79
"2016-04"	1	75	100	67
"2017-01"	5	79	96	40
"2017-02"	7	79	79	81
"2017-03"	10	89	98	111
"2017-04"	6	78	104	95
"2018-01"	4	56	98	38
"2018-02"	7	49	76	73
"2018-03"	12	115	94	108
"2018-04"	2	79	74	84
"2019-01"	2	87	84	57
"2019-02"	3	50	78	63
"2019-03"	8	85	101	100
"2019-04"	8	84	96	79
"2020-01"	8	81	102	50
"2020-02"	7	24	72	56
"2020-03"	12	83	81	88
"2020-04"	4	91	111	66
"2021-01"	9	58	94	60
"2021-02"	3	44	79	44
"2021-03"	6	80	79	76
"2021-04"	10	91	95	93
"2022-01"	10	55	114	73
"2022-02"	3	35	113	79
"2022-03"	9	84	91	118
"2022-04"	5	123	65	85
"2023-01"	10	116	160	87
"2023-02"	10	56	92	107
"2023-03"	13	96	105	135
"2023-04"	11	58	101	96

