	Sehr gut	Eher gut	Eher nicht gut	Gar nicht gut	Weiss nicht	Keine Angabe
2019: <3 000 Fr.	7	107	76	39	9	14
2015: <3 000 Fr.	12	53	30	5	0	0
2011: <3 000 Fr.	8	44	28	10	0	0
2007: <3 000 Fr.	15	122	47	6	0	0
2005: <3 000 Fr.	13	69	30	9	1	0
2003: <3 000 Fr.	55	250	101	16	1	0
.						
2019: 3 000-7 499 Fr.	91	542	147	18	19	36
2015: 3 000-7 499 Fr.	91	258	40	3	2	0
2011: 3 000-7 499 Fr.	129	272	43	10	0	0
2007: 3 000-7 499 Fr.	77	198	25	4	1	0
2005: 3 000-7 499 Fr.	48	231	46	9	0	0
2003: 3 000-7 499 Fr.	143	449	85	9	7	0
..						
2019: >7 499 Fr.	228	411	35	1	2	11
2015: >7 499 Fr.	161	171	7	0	1	0
2011: >7 499 Fr.	158	174	16	2	1	0
2007: >7 499 Fr.	36	24	0	0	0	0
2005: >7 499 Fr.	61	116	6	0	0	0
2003: >7 499 Fr.	83	110	6	1	1	0
