Kategorien	  Ja, genutzt	  Ja, nicht genutzt	  Nein, würde genutzt	  Nein, würde nicht genutzt	  Keine Angabe
2009					
2009: Nur Deutsch	596	845	100	61	65
2009: Deutsch und weitere	180	516	101	69	119
2009: Kein Deutsch	61	199	75	49	83
2009: Total	837	1560	276	179	267
2013					
2013: Nur Deutsch	275.99836	660.63038	86.01361	57.48380	74.63719
2013: Deutsch und weitere	113.50926	351.77984	92.25725	58.32154	99.72387
2013: Kein Deutsch	32.75602	134.47158	47.68101	61.01296	65.37324
2013: Total	427.96925	1156	228.25076	176.81829	241.89325
2017					
2017: Nur Deutsch	170.21177	472.60751	83.29966	44.03791	40.52548
2017: Deutsch und weitere	81.47997	270.04638	85.94338	38.25656	85.02990
2017: Kein Deutsch	28.98676	85.48225	50.01516	41.20006	54.94656
2017: Total	283.15894	846.91317	225.42156	125.31677	184.18956
2022					
2022: Nur Deutsch	135.40538	456.15079	109.33019	89.35877	62.50965
2022: Deutsch und weitere	72.63892	318.94419	120.96581	91.98649	104.75745
2022: Kein Deutsch	20.31981	48.89445	57.73998	52.18762	35.53094
2022: Total	228.36410	824.75170	288.03598	235.21682	204.63140

