"Jahr"	"Höhenlagen im Jura"	"Agglomeration"	"Stadt Basel"	"Stark verkehrsexponiert"	"Category"
1991	2.7	5.4	5.9	5.6	0
1992	2.7	5.4	5.3	5.6	1
1993	2.1	4.8	5.3	5.6	2
1994	2.1	4.5	5.4	5.1	3
1995	2.1	4.8	4.4	5.1	4
1996	2.7	5.3	5.3	4.7	5
1997	2.1	4.8	5.1	5.3	6
1998	2.1	3.9	4.2	4.95	7
1999	2.1	3.9	4.1	5.27	8
2000	2.1	3.9	4.1	4.9	9
2001	2.1	3.4	4.2	4.7	10
2002	2.1	3.75	4.2	4.7	11
2003	2.1	4.05	4.2	5.57	12
2004	2.1	3.75	3.6	5.07	13
2005	2.1	3.75	4.2	5.1	14
2006	2.1	3.75	4.8	5.37	15
2007	2	2.9	3.8	4.67	16
2008	1.4	3.05	3.8	4.47	17
2009	1.4	3.05	3.8	4.67	18
2010	1.5	3.15	3.9	4.7	19
2011	1.4	2.9	3.8	4.73	20
2012	1.4	2.65	3.2	4.37	21
2013	1.5	2.7	3.2	4.47	22
2014	1.4	2.35	3.2	4.03	23
2015	1.5	3	3.3	4.17	24
2016	1.4	2.15	3.2	3.83	25
2017	1.4	2.1	3.3	4.37	26
2018	1.5	2.18	3.3	4.25	27
2019	1.5	2.13	3.3	3.78	28
2020	1.4	1.83	2.8	3.28	29
2021	2	1.85	2.75	3.13	30
2022	2	2.13	2.75	3.13	31
2023	1.9	1.85	2.3	2.98	32
2024	1.4	1.9	2.3	2.7	33
