""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger Holzwaren, Papier und Druckerzeugnisse"	"Bestand Meldepflichtige in VZÄ Industrie, Herstellung von Waren"
"2011-01"	2	258	70
"2011-02"	9	244	52
"2011-03"	9	247	251
"2011-04"	26	265	75
"2012-01"	1	258	59
"2012-02"	3	265	65
"2012-03"	1	248	341
"2012-04"	24	268	60
"2013-01"	6	246	96
"2013-02"	2	260	112
"2013-03"	8	226	268
"2013-04"	25	222	74
"2014-01"	9	225	62
"2014-02"	3	212	110
"2014-03"	9	223	221
"2014-04"	1	216	92
"2015-01"	3	220	132
"2015-02"	6	213	80
"2015-03"	12	230	305
"2015-04"	3	195	60
"2016-01"	2	208	72
"2016-02"	1	201	62
"2016-03"	2	205	271
"2016-04"	""	197	41
"2017-01"	1	201	55
"2017-02"	""	180	69
"2017-03"	11	185	269
"2017-04"	5	189	53
"2018-01"	1	178	59
"2018-02"	1	158	66
"2018-03"	1	165	262
"2018-04"	""	146	43
"2019-01"	2	155	52
"2019-02"	7	151	80
"2019-03"	15	142	290
"2019-04"	6	151	84
"2020-01"	1	136	54
"2020-02"	2	131	44
"2020-03"	4	137	105
"2020-04"	3	154	60

