Jahr	Anzahl Beziehende von Prämienverbilligung	Wohnbevölkerung	Anteil Beziehende von Prämienverbilligung
2006	52177	187792	0.277844636619238
2007	50528	188000	0.268765957446809
2008	49684	189556	0.262107240076811
2009	51915	190815	0.272069805832875
2010	51485	190799	0.269838940455663
2011	52341	192304	0.272178425825776
2012	53403	193459	0.276042985852299
2013	54294	195459	0.277776925084033
2014	50302	196471	0.25602760712777
2015	50633	197204	0.256754426887893
2016	51229	198206	0.258463416849137
2017	51887	198988	0.2607544173518
2018	50986	200256	0.254604106743368
