"Jahr"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2001"	6442	9905	8131	9651	929	10860	1074	518	771	4243
"2002"	7280	9620	8105	10089	1015	10998	1194	557	869	4559
"2003"	8020	9307	7960	10168	1091	11038	1295	607	955	4912
"2004"	8925	9113	7904	10207	1143	10925	1374	633	981	5214
"2005"	9962	8793	7778	10392	1178	10672	1404	658	972	5231
"2006"	10966	8541	7667	10672	1323	10518	1481	732	968	5474
"2007"	12172	8212	7274	10907	1496	9797	1470	779	960	5606
"2008"	13291	8108	6995	11310	1692	9213	1527	837	1087	5986
"2009"	14189	8033	6829	11755	1881	8871	1606	856	1160	6497
"2010"	14419	7955	6768	11804	1976	8767	1639	897	1219	6688
"2011"	14885	7996	6723	12362	2298	8741	1642	924	1342	7182
"2012"	14963	7969	6651	12961	2589	8704	1722	981	1469	7518
"2013"	15405	8120	6599	13878	2928	8569	1721	1029	1538	7765
"2014"	15620	8240	6529	14502	3193	8494	1705	1158	1547	7791
"2015"	15756	8302	6392	14862	3414	8389	1683	1332	1642	7815
"2016"	16066	8436	6312	15272	3683	8293	1717	1416	1691	7922
"2017"	16189	8509	6293	15433	3942	8181	1689	1520	1750	8104
"2018"	16459	8651	6194	15844	4153	8131	1755	1579	1849	8316
"2019"	16380	8651	6056	15983	4462	7962	1831	1625	1889	8476
"2020"	16648	8785	5951	16501	4661	7852	1900	1717	1981	8699

