	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	30.5	46.5	11.6	2.4	5	4
Mehrpersonen-HH (n=871)	33	45.6	12.9	1.1	4.2	3.2
*Geschlecht						
Männlich (n=637)	30	47.3	13.5	1.7	5.2	2.4
Weiblich (n=760)	33.9	45.1	11.3	1.4	4.2	3.9
*Alter						
55-64 Jahre (n=518)	27.2	47.3	14.7	1.9	6.9	1.9
65-74 Jahre (n=434)	30.2	48.4	12.7	1.8	3.5	3.5
>74 Jahre (n=441)	39.7	41.7	9.1	0.9	3.2	5.4
*Staatsangehörigkeit						
Schweiz (n=1 280)	32.3	46.4	11.9	1.6	4.5	3.4
Ausland (n=120)	31.7	41.7	16.7	1.7	5.8	2.5
*Haushaltseinkommen						
<5 000 Fr. (n=428)	28	47.9	11.4	2.6	4.9	5.1
5 000-7 499 Fr. (n=325)	29.5	48.6	13.5	1.8	4.6	1.8
>7 499 Fr. (n=440)	36.4	44.1	12.5	1.1	3.9	2
*Wahlkreis						
Grossbasel Ost (n=357)	32.8	45.9	12	1.7	4.8	2.8
Grossbasel West (n=474)	28.5	44.7	14.6	1.7	6.3	4.2
Kleinbasel (n=306)	33.3	46.4	11.4	1.6	3.9	3.3
Riehen, Bettingen (n=240)	35.8	47.1	10.8	1.3	2.5	2.5
*Befragungsjahr						
2011 (N=1 689)	34.3	45.8	10.2	0.9	3.6	5.3
2015 (N=1 427)	32.1	47.9	11.1	1.8	3.5	3.6
2019 (N=1 410)	32.1	45.8	12.3	1.6	4.6	3.5

