	Verkehrstote (rechte Skala)	Verletzte
1924	5	60
1925	9	170
1926	7	205
1927	13	213
1928	17	303
1929	15	385
1930	17	462
1931	14	443
1932	10	542
1933	23	483
1934	23	500
1935	16	517
1936	18	532
1937	17	559
1938	11	670
1939	11	633
1940	13	426
1941	6	447
1942	14	445
1943	6	415
1944	13	426
1945	8	485
1946	16	744
1947	25	856
1948	16	827
1949	14	910
1950	16	969
1951	19	1023
1952	23	1012
1953	24	1252
1954	29	1218
1955	13	1238
1956	16	1277
1957	23	1388
1958	20	1429
1959	22	1494
1960	12	1510
1961	24	1503
1962	31	1536
1963	17	1292
1964	21	1313
1965	19	1326
1966	24	1176
1967	15	1215
1968	22	1178
1969	15	1311
1970	27	1206
1971	24	1339
1972	22	1321
1973	16	1161
1974	12	1110
1975	13	1151
1976	17	1101
1977	16	1090
1978	17	1153
1979	20	1159
1980	16	1032
1981	7	973
1982	18	972
1983	14	977
1984	10	925
1985	10	854
1986	8	902
1987	15	792
1988	12	846
1989	8	772
1990	7	738
1991	9	748
1992	11	822
1993	9	864
1994	9	966
1995	9	971
1996	6	846
1997	9	926
1998	9	853
1999	9	849
2000	3	757
2001	12	696
2002	8	651
2003	7	659
2004	3	599
2005	6	688
2006	2	657
2007	3	600
2008	6	583
2009	4	563
2010	4	458
2011	3	388
2012	5	302
2013	2	397
2014	2	435
2015	3	470
2016	4	486
2017	1	445
2018	2	471
2019	2	469
2020	3	363
2021	5	372
2022	2	342
2023	3	407
