""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2013-01"	0.023039	35
"2013-02"	0.023039	35
"2013-03"	0.023039	34
"2013-04"	0.023039	36
"2013-05"	0.023039	42
"2013-06"	0.023039	43
"2013-07"	0.023039	43
"2013-08"	0.023039	40
"2013-09"	0.023039	40
"2013-10"	0.023039	43
"2013-11"	0.023039	40
"2013-12"	0.023039	36
"2014-01"	0.026245	32
"2014-02"	0.026245	33
"2014-03"	0.026245	39
"2014-04"	0.026245	41
"2014-05"	0.026245	48
"2014-06"	0.026245	49
"2014-07"	0.026245	52
"2014-08"	0.026245	48
"2014-09"	0.026245	49
"2014-10"	0.026245	45
"2014-11"	0.026245	46
"2014-12"	0.026245	50
"2015-01"	0.031919	52
"2015-02"	0.031919	54
"2015-03"	0.031919	54
"2015-04"	0.031919	55
"2015-05"	0.031919	56
"2015-06"	0.031919	56
"2015-07"	0.031919	49
"2015-08"	0.031919	55
"2015-09"	0.031919	53
"2015-10"	0.031919	58
"2015-11"	0.031919	54
"2015-12"	0.031919	51
"2016-01"	0.030932	52
"2016-02"	0.030932	53
"2016-03"	0.030932	54
"2016-04"	0.030932	57
"2016-05"	0.030932	53
"2016-06"	0.030932	59
"2016-07"	0.030932	56
"2016-08"	0.030932	47
"2016-09"	0.030932	43
"2016-10"	0.030932	49
"2016-11"	0.030932	53
"2016-12"	0.030932	51
"2017-01"	0.031475	57
"2017-02"	0.031475	55
"2017-03"	0.031475	52
"2017-04"	0.031475	52
"2017-05"	0.031475	59
"2017-06"	0.031475	60
"2017-07"	0.031475	59
"2017-08"	0.031475	59
"2017-09"	0.031475	48
"2017-10"	0.031475	44
"2017-11"	0.031475	48
"2017-12"	0.031475	45
"2018-01"	0.030834	44
"2018-02"	0.030834	43
"2018-03"	0.030834	43
"2018-04"	0.030834	42
"2018-05"	0.030834	48
"2018-06"	0.030834	52
"2018-07"	0.030834	51
"2018-08"	0.030834	58
"2018-09"	0.030834	59
"2018-10"	0.030834	63
"2018-11"	0.030834	60
"2018-12"	0.030834	62
"2019-01"	0.035471	63
"2019-02"	0.035471	62
"2019-03"	0.035471	56
"2019-04"	0.035471	58
"2019-05"	0.035471	62
"2019-06"	0.035471	60
"2019-07"	0.035471	55
"2019-08"	0.035471	62
"2019-09"	0.035471	61
"2019-10"	0.035471	59
"2019-11"	0.035471	61
"2019-12"	0.035471	60
"2020-01"	0.041292	60
"2020-02"	0.041292	62
"2020-03"	0.041292	67
"2020-04"	0.041292	66
"2020-05"	0.041292	73
"2020-06"	0.041292	74
"2020-07"	0.041292	76
"2020-08"	0.041292	79
"2020-09"	0.041292	75
"2020-10"	0.041292	72
"2020-11"	0.041292	69
"2020-12"	0.041292	64
"2021-01"	0.043315	73
"2021-02"	0.043315	78
"2021-03"	0.043315	79
"2021-04"	0.043315	78
"2021-05"	0.043315	81
"2021-06"	0.043315	75
"2021-07"	0.043315	75
"2021-08"	0.043315	71
"2021-09"	0.043315	72
"2021-10"	0.043315	66
"2021-11"	0.043315	65
"2021-12"	0.043315	65
"2022-01"	0.031820	61
"2022-02"	0.031820	54
"2022-03"	0.031820	48
"2022-04"	0.031820	59
"2022-05"	0.031820	57
"2022-06"	0.031820	61
"2022-07"	0.031820	58
"2022-08"	0.031820	54
"2022-09"	0.031820	49
"2022-10"	0.031820	46
"2022-11"	0.031820	50
"2022-12"	0.031820	48

