lat	lon	Spitalname	Anzahl Austritte
47.56256073	7.583231614	Universitätsspital Basel (USB)	40595
47.56655928	7.614203736	St. Claraspital	11681
47.55552511	7.570044281	Merian Iselin Klinik	7247
47.54818372	7.617299436	Bethesda Spital AG	6533
47.56380773	7.581864226	Universitäts-Kinderspital beider Basel (UKBB)	6075
47.56550086	7.565326414	Felix Platter-Spital	5630
47.57126038	7.565914732	Universitäre Psychiatrische Kliniken Basel (UPK)	2831
47.56015005	7.579577192	Adullam Spital	2472
47.56582348	7.591269217	Matthea Geburtshaus	716
47.57274387	7.559156843	REHAB Basel	552
47.58479468	7.65703335	Klinik Sonnenhalde	469
47.55045916	7.610654987	Palliativzentrum Hildegard	437
47.55117618	7.593281111	SMN-Schmerzklinik Basel	193
47.56657366	7.615025113	Zurzach Care AG	101
